symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_InvSIX,stderr_diff_InvSIX,tval_diff_InvSIX,pval_diff_InvSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004637395890632834,-0.0010503904185636959,10029.68689358797,10083.370290451085,-5004.843446793985,0.639300745369799,0.7640711698570092,1.9913965120335435,-0.07840358222998578,0.1512844237559307,-0.5182528398063992,0.6043546662111599,-0.1482263730391108,0.22030932869945816,-0.6728102432798859,0.5011667191701028,0.09541811120688212,0.11423513310089384,0.8352781549491233,0.4036877997500129,0.1991611588129138,0.3051690647064951,0.6526256486857953,0.5140928866302723,0.21154863138806823,0.19366528944347042,1.0923414928714825,0.27485008542148226,-0.15804953060884108,0.34443678718787346,-0.45886367684248774,0.6463953790277838,0.6945145917783926,0.5397169159039195,1.2868127185067333,0.19834866790921998,-0.3037196997671683,0.6394800145971961,-0.4749479152346601,0.6348899486781621,0.8440042196688505,0.7019836966658861,1.2023131358712453,0.22942295600256515,-0.09634313494439287,0.1708779172249054,-0.5638126711106173,0.5729618947107882
AAVE,1694,1694,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.016378898005461884,0.011026667099808374,10684.474250432138,10738.64404664595,-5332.237125216069,3.3069550500116542,0.0005210339491077192,1.919097903450452,0.048593240599852906,0.14913298290712387,0.32583831995176754,0.7445879016024859,-0.6734483801682554,0.14170275115669662,-4.75254273238173,2.182769568539022e-06,0.2845233191986496,0.13796208485806288,2.062329802361067,0.039332202789962294,0.01720995769608391,0.36613441152506704,0.0470044801973104,0.9625153313229011,0.10661978816530748,0.3475817506964609,0.3067473708031849,0.7590742812410369,0.0165743072104534,0.4794785841671234,0.0345673566197826,0.9724289025487667,0.7658030740085819,0.47241756636920695,1.6210300558766402,0.10520179830153337,0.4111861941603162,0.713537414387198,0.576264377830071,0.5645149015366517,0.2772388020632159,0.7049184466409878,0.3932920231897585,0.6941544959974244,-0.11885355602598753,0.1505912691856388,-0.7892459945966246,0.4300813627805634
ADA,2738,2738,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006066414321468039,0.002750846392962969,17227.17365025206,17286.213306592384,-8603.58682512603,1.9448462076992254,0.041848957536054464,2.076707676018543,0.07290083412164694,0.1110428048478899,0.6565111014757679,0.5115513157852518,-0.1518773975146434,0.10655365792611335,-1.4253607099998251,0.15416863365381975,0.03501653777021525,0.11916277238220939,0.2938546751656737,0.7688915568191281,-0.30003565125257436,0.22255883478327498,-1.3481183595553299,0.17773348663298766,0.06534024920458778,0.13665349781135014,0.4781454573141615,0.6325854188134598,0.35134213669621717,0.2093761026410778,1.6780431590060882,0.093454490458431,0.5934157438003351,0.2616448725466823,2.2680197705554455,0.02340673442614515,-0.004223644704409529,0.31803738942879844,-0.013280340126031345,0.9894051150090963,0.48769639974564283,0.23774501235127643,2.0513422970365185,0.04032998221348004,-0.09173026151088974,0.19902343757677568,-0.46090180446965545,0.6449062063904758
ALGO,2170,2170,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008273892925172444,0.00408350092344778,13735.985719413198,13792.671330493356,-6857.992859706599,1.8076132839734091,0.062166473673563545,2.0531685725631346,-0.09374969748292722,0.12818722684834677,-0.7313497591600041,0.4646459917639868,-0.0779519012129316,0.22462630047914914,-0.34702927060033856,0.7286036113525914,0.0852342444894447,0.15532795698696805,0.5487373048793516,0.5832432535535392,-0.0890319226427929,0.13796798748878522,-0.6453085550010642,0.5187967521434309,0.10291913073228351,0.13602734021161622,0.7566062129287638,0.44936949392796377,0.32687399065022704,0.16369109481991706,1.9968953779057672,0.04596359142739285,0.5552815466683928,0.35386531666909943,1.5691889555472833,0.11675244958150113,-0.1682249900851796,0.3579474964353957,-0.46997113196890805,0.6384237540477649,0.595844019445312,0.27208375943706903,2.1899286479946123,0.028637520489061284,0.20026105241034248,0.20439295601598195,0.9797845107474428,0.3273037687792656
ALPHA,1693,1693,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008707604877141173,0.0033103686060549364,11137.28226803437,11191.4460528263,-5558.641134017185,0.887594707742697,0.5355607942972023,2.0207215623494874,0.018747265718803093,0.17283246610169253,0.10847074130026257,0.9136354533338734,-0.1984089288106258,0.23246028573813923,-0.8535175295883812,0.39349603352439266,0.21009537879966766,0.16870328175242233,1.2453544271177226,0.21317799912698643,0.10512889176558515,0.27777088812102474,0.37847339754258374,0.7051275526505398,0.32658210961271983,0.2302250120796189,1.4185344444667796,0.15622329470626523,-0.19213471021476958,0.3274094317938787,-0.5868331561557713,0.5573959005538365,1.054923546266973,0.5700193223207904,1.8506803277684198,0.06439386165790607,-0.2307747884193014,0.7469697818855393,-0.308947957488679,0.7574000487013908,0.9090473614861074,0.720091731975727,1.262404942481342,0.20698118121830011,-0.16714746494253088,0.17106722467626626,-0.9770864363927498,0.3286693321825691
ANT,2627,2627,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.020245572856875782,0.016876146091767574,18492.86146719057,18551.597445087427,-9236.430733595285,1.770993691466066,0.06874568487575142,2.154515393113739,0.024995901469134156,0.15915622168923169,0.15705261914260024,0.8752154936134953,-1.079478088812546,0.4460893203008188,-2.419869832536236,0.015593779940800068,0.3073208669367145,0.152532557994534,2.014788652188783,0.044028893803920936,-0.23610747076222624,0.30231922324513255,-0.7809872896199552,0.434880610094997,0.14083787361395425,0.16886139716108037,0.8340442278800175,0.4043321827436561,0.4768887340503311,0.30751473029375814,1.550783383920425,0.12107451990683929,0.24626139718308726,0.3564026917516769,0.6909639093148869,0.48964950405576535,-0.25888113563500553,0.4227703215789802,-0.6123446288001615,0.5403629683096143,0.40786763891389444,0.2935499298415254,1.389431907321811,0.16481965154979336,0.022047846907169696,0.3142511231354564,0.07015996215760884,0.9440717018701714
BAL,1801,1801,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.023668353975419998,0.018678584063880566,11248.295160235768,11303.088156613596,-5614.147580117884,2.6439346572673568,0.004831680131967447,1.895754913782835,-0.14645699033046233,0.14011712506791676,-1.045246897975337,0.2960523257152895,-0.7823943588657813,0.21176940876133254,-3.694557979087301,0.0002269975942430078,0.057495337812553865,0.12737668505117813,0.45138039029240756,0.6517709941280094,-0.19456350913990114,0.2493706201579352,-0.780218251118264,0.43536727545450904,-0.4471944752114644,0.20101628650294148,-2.2246678763758805,0.026229850197353445,0.7239304359376261,0.26598437846914164,2.7217028312119966,0.006558632806893086,0.32058825779615363,0.4803730159356989,0.6673735767020403,0.5046209803488704,0.11930391316609096,0.6737736996958538,0.17706822516216586,0.8594751625636401,0.06570123199460472,0.4956904211349341,0.13254488929637778,0.8945684623023251,-0.06314051739568484,0.14710614041217157,-0.4292174155257804,0.6678175142059615
BAT,2794,2794,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004788955615258272,0.0015366319407983386,17702.81170400312,17762.056045851998,-8841.40585200156,0.7029006802785863,0.7068094466009963,2.0450664561729677,-0.019475805369980878,0.11150704330962287,-0.17465986714312018,0.8613597428654596,-0.35295176013813134,0.22295692781977883,-1.5830490830203325,0.1135250993253426,-0.012032544597744554,0.12324049303395242,-0.09763466780703013,0.9222294998591861,0.15438771655435293,0.2549200896057931,0.6056318150252386,0.5448091768261258,-0.05750620003796478,0.14562789837318899,-0.39488450139270864,0.6929587084460642,-0.11986016540493571,0.2680558685387761,-0.44714620895381413,0.6548046598216528,0.3170409577419856,0.2722054046632536,1.1647122074383431,0.2442363842656097,0.11265517419856633,0.3225101860768991,0.34930733682844023,0.726885296765858,0.11126969323242927,0.2520610452040684,0.44143946615132623,0.6589295312157639,-0.055257591740208556,0.2432279183122922,-0.22718441256098174,0.8202972103220447
BCH,2860,2860,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0012266664861149135,-0.001960907982546445,18268.685713616964,18328.166033523335,-9124.342856808482,0.5208393678443124,0.8604943513452935,1.9777339640567977,0.008172208582811452,0.11372846435599088,0.07185719625326994,0.942720650012812,0.1109430463873168,0.07842956221485659,1.4145564918925597,0.15730897355947698,0.0827662944522225,0.12384574509045322,0.6683014777114262,0.5039958653025501,-0.1289709891496597,0.2115736775667243,-0.6095795593900661,0.5421894653872126,0.04646762098418923,0.14821117929015398,0.31352305006101644,0.7539064989162566,0.09623505673145011,0.17738880673673413,0.5425091836503205,0.5875106516928141,0.24218688765134191,0.2484801202539019,0.9746730941850421,0.3298060414996449,0.09216749278068388,0.3347870538460698,0.27530184253498985,0.7831045182596341,0.22540436747723233,0.20555800291272186,1.0965487321500056,0.2729323396044155,-0.15821730394856123,0.20326278100537423,-0.7783879722888274,0.43640563186533965
BNB,2877,2877,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009461760756449222,0.006319411742282122,18035.390421777825,18094.930632650605,-9007.695210888913,2.018274105650454,0.0337073821622929,1.97529902457337,0.3160847732510328,0.10638090281903774,2.971254848144293,0.002990763747201798,0.3004740935068867,0.23933949165301993,1.2554304825820222,0.20942592193586235,0.17687688326408485,0.1030008968537249,1.7172363413036467,0.08604513666032644,-0.10759228314911712,0.501266637870184,-0.21464082191119396,0.830062790933038,0.12432727576831665,0.12267257749080937,1.0134887381626203,0.31091319860028205,-0.19595175604933138,0.5147484760676728,-0.3806747667254289,0.7034730957115554,0.39290736057366804,0.24504391226219,1.6034161263033884,0.1089541288261888,0.24011118966220918,0.30914557814145976,0.776692945458655,0.4374047008489018,0.039576618619687115,0.18660117442419288,0.21209201250641216,0.832050486901045,-0.30198071378328695,0.18481909355251078,-1.6339259541790156,0.10238535464662465
BSV,2389,2389,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004369601133016432,0.0005549252752884426,15342.756103319243,15400.41603411332,-7661.378051659622,1.072390567443397,0.3798889479982433,2.0789430296681166,-0.036949937445880196,0.12746154237274013,-0.2898908702816904,0.7719253123491283,0.12880199700937534,0.18608553023197555,0.6921655695034957,0.4889017704346742,-0.10739653668714755,0.1156691455795628,-0.9284804184299524,0.35325381568373215,-0.18874699915198476,0.1730186087952869,-1.0909057728889004,0.2754262320121581,-0.07057794540501763,0.1254126232142721,-0.5627658811061834,0.5736480207828358,-0.25736990925893943,0.14573223728146886,-1.7660465114650805,0.07751792106027865,-0.06993159875605953,0.37779322697023143,-0.18510548565649607,0.8531622792866067,-0.18111977012753366,0.46105902684853384,-0.3928342350556228,0.694477562057481,0.07972825853059226,0.2317372279331676,0.3440459663804457,0.7308425118282665,-0.024905394560204304,0.22183496870444236,-0.11226992167040417,0.9106189827065305
BTC,3803,3803,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0037620307002427245,0.0013793196389358942,20476.397931437656,20538.7541886373,-10228.198965718828,1.7346156605564431,0.07586579020729765,2.0370182109898964,0.15679798355120167,0.058728339224808614,2.669886218831904,0.0076203059666203115,-0.09928124463404356,0.08391373877431431,-1.183134562756882,0.23683056325008625,0.08784244821900777,0.05725408074367282,1.5342565469224707,0.1250506184239608,0.11861897635204736,0.06880951408828682,1.7238746403564476,0.08481261081145065,-0.003906367942215105,0.06820583516330084,-0.05727322204709231,0.9543305918758976,-0.0907542325527413,0.06019955329280671,-1.507556577892175,0.1317519972960665,0.29537152566438785,0.11961534856029568,2.4693446887837895,0.013580153507104495,0.10593447847482199,0.1976119417676676,0.5360732632209503,0.5919396026517367,0.2911002534634417,0.16113620523681807,1.806547777612229,0.07091267288925188,-0.24657170058850522,0.14132602686277046,-1.7447012844133074,0.08111851635153977
BTG,2775,2775,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0035360573513981697,0.0002570169551139312,18666.60297752007,18725.778341059508,-9323.301488760035,0.7589096884190263,0.6547722331243355,2.0272059060866883,-0.1939796545550997,0.13863090534114875,-1.3992525986737692,0.16185064804359864,0.1033487130747327,0.15915689581513207,0.6493511484087809,0.5161659586578402,-0.006587261365380917,0.17214827981846303,-0.03826504320767792,0.9694791545307246,-0.3693712209826327,0.4150072959909965,-0.8900354874499511,0.373525111999495,0.08270244359565983,0.14386823542922153,0.5748485296210276,0.5654410239675651,0.23380695191819104,0.2883934898894643,0.8107220173652491,0.4175958655207096,0.2628897279475804,0.30563960057343814,0.8601297981490265,0.3897928856510484,0.01892008720559664,0.40152589987569454,0.04712046523388397,0.9624206568326061,-0.024753081556261602,0.266736009765979,-0.09279992445706425,0.9260693078263235,0.06875482690554766,0.23996128998634303,0.2865246594959575,0.7744980113995461
BUSD,2080,2080,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.20182904150009995,0.19830769903612977,8113.834070477371,8170.0900211986955,-4046.9170352386855,1.6281342612144352,0.10173914617325208,2.3278669264652336,-0.00033081289962619276,0.040751592646080144,-0.008117790695918073,0.9935238050081288,-0.8672613063433058,0.315565225107528,-2.7482790793814145,0.006043645587575241,0.052289831908369555,0.03653122065168055,1.4313737941292706,0.15247629033892154,-0.05161978425392229,0.10516951657551436,-0.49082458429727577,0.6236033128310476,-0.008328451492236634,0.013974248167671201,-0.5959856582126639,0.5512509260892288,0.08269602623574879,0.11706110938744706,0.7064346704766205,0.479998539729372,-0.011902789708649428,0.04772640918646108,-0.24939629675777042,0.8030793573925923,0.007314259937756958,0.02264680594890666,0.32297092818557377,0.7467503588932582,-0.018853429416399226,0.09368322768516053,-0.20124658257676167,0.840525832008363,-0.010273578713467003,0.017850821127775224,-0.5755241531988515,0.5650003357874225
COMP,1808,1808,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0279553354551616,0.023007144289492243,11327.58280467297,11382.415248833708,-5653.791402336485,6.8992484647420325,8.050558539804858e-10,2.134945711528799,-0.07478060634385814,0.13859530735112094,-0.5395608824937125,0.5895678434315306,0.9540274661155338,0.12612851453681423,7.5639316741265,6.250197882116139e-14,-0.02601895501330032,0.11631629529630637,-0.22369140065043452,0.8230232813910553,-0.16649543605111947,0.25596450099498036,-0.6504629954697685,0.515477712730561,-0.04636301874820592,0.22625416312196472,-0.20491564932316159,0.837661616036568,0.00925984698858687,0.30790561962797885,0.030073653737709972,0.976011706789978,0.7060919200886895,0.5142748141065133,1.3729856114292391,0.1699309283616422,0.7896944083279666,0.6830423753578847,1.1561426301174957,0.24777902341036734,-0.056307778183836005,0.4490557779160176,-0.125391501352348,0.9002278718945392,-0.19150869534122203,0.14869235756105265,-1.2879525113628596,0.19793103855737731
CRO,2264,2264,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003943520896100172,-8.728320099304909e-05,13714.771658153602,13771.887147949894,-6847.385829076801,1.314783341674271,0.22363416820597817,2.121971992829072,0.01655805230655947,0.10864425229293219,0.15240615087409135,0.8788804306179341,0.012622854298162872,0.1369879163798537,0.09214575001754877,0.9265905387580827,0.009254581080955532,0.13459528819628297,0.06875858141080982,0.9451879684207893,-0.06643503334674024,0.29531053417741254,-0.22496668983311083,0.8220258553150532,-0.05891378893628575,0.1452450553382059,-0.40561648587006194,0.6850634309062453,-0.026967610892847535,0.33496769250832054,-0.08050809524616367,0.9358404017311508,-0.07731551720628455,0.2692347729512002,-0.2871676505928091,0.7740107070114987,-0.5808205365862117,0.2849884432947416,-2.0380494376240854,0.041663084387179423,0.21595917509153978,0.2264788080235753,0.9535513586289253,0.34041441220856783,0.31645262250068684,0.185260505344403,1.7081494078427297,0.08774816947989979
CRV,1750,1750,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.012621340321052443,0.007424610533268483,11804.67175946788,11859.172555165955,-5892.33587973394,2.9597949214211314,0.0016998125872246931,2.004264193125456,-0.15682239700740008,0.18547347571946696,-0.8455246573617765,0.3979362635729763,-0.39299322720101193,0.1482978272151071,-2.650026872146767,0.008122730653405309,0.3782354068311035,0.1742527855776109,2.170613259221846,0.030097621570550445,-0.03741646210480018,0.35867439385498684,-0.10431874353408058,0.9169286374082968,0.5572929497879582,0.26700835131589595,2.087174228976188,0.03702013822032703,-0.25809368460673754,0.4357428055179108,-0.5923073917421887,0.5537230751612583,0.21332723837702944,0.6121403693816669,0.3484939877311388,0.7275121276913706,1.259743370455854,1.018944415970378,1.2363219727311174,0.2165086924785771,-0.8963022759988715,0.8473220703438311,-1.0578058891292244,0.29029335336686035,0.17663504097594315,0.2013716171649527,0.8771595692716383,0.38052318635041626
CVC,2819,2819,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007610306147967205,0.004396377668417606,18703.76683538127,18763.101219257544,-9341.883417690635,1.658200176591421,0.09364627122744819,2.0095717097937262,-0.043581269494254504,0.12940414041981133,-0.3367841968028896,0.7363050173515782,-0.3752598425098849,0.31041590318891554,-1.2088937411222327,0.22680651524391332,0.1297016900215382,0.10962250289662907,1.1831666546041484,0.23684431118842364,-0.47963468818641586,0.2965695690017095,-1.617275466936566,0.10593232546484739,0.2858423280418978,0.1710713727778313,1.6708951556326048,0.09485498753526765,0.1516683129161469,0.2941562260775801,0.5156046327441877,0.6061715884814285,0.5489142787514739,0.38789479813061256,1.4151112141664828,0.15714793457130194,0.18536213604057122,0.4294781147194155,0.43159856041016453,0.6660666849155535,0.29526667577435234,0.282071473796682,1.046779639926232,0.295292257497901,-0.024060913266126666,0.317420113473304,-0.07580147648126356,0.9395824976426016
DAI,2019,2019,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005239992340102306,0.0007160711329577962,1260.5679002197312,1316.5217730082709,-620.2839501098656,0.4591260189276933,0.9022960025424442,2.6133034625717073,0.003630879300787474,0.007602136067296701,0.4776130377890756,0.6329783945669405,-0.013618239238622622,0.016382184274468335,-0.8312834851849807,0.405913785949521,0.009426108371459576,0.011836538461061601,0.796356840512827,0.425920174598057,0.007467144431221315,0.009404778661328656,0.7939734362835497,0.4273060874463591,0.01088031912240634,0.009430368407878488,1.1537533478879265,0.24874062222348964,-0.02371005311540926,0.017427875955337346,-1.3604671720278096,0.173837063620719,-0.004797738881969586,0.024255155514326148,-0.19780284975438864,0.8432196311586565,-0.009548072129653546,0.025183314817541224,-0.37914278556383363,0.7046225101574397,0.00807769596271797,0.021354062102335362,0.3782744437103872,0.7052672997356471,0.006688965891331849,0.008145701666016348,0.8211650960945499,0.41165114244857914
DASH,3803,3803,9,"log_daily_return,diff_InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00419415852704319,0.0018124809896378213,23665.39381039008,23727.750067589724,-11822.69690519504,1.7676043528880365,0.0692217699659203,2.0032205175607842,0.07222646884127579,0.08979969502348337,0.804306393494855,0.421270854858962,-0.2167096493679918,0.13673668728993835,-1.5848683602263796,0.11308027397447414,0.029335619259687865,0.07725214314490275,0.3797385815518762,0.7041609068288439,0.11909609878674311,0.10712128826762378,1.1117874020447025,0.2663005950601647,-0.029133235656177363,0.10134297538567766,-0.28747168262334866,0.7737670106922698,-0.12314287603521919,0.147406349710903,-0.8353973643383075,0.40354705025046955,0.3139603482267152,0.1970763005635979,1.5930903275982593,0.11122391633198052,-0.030134399853815122,0.3090427147991058,-0.09750885042996107,0.9223274991241158,0.3886709223677554,0.22546557664551248,1.7238592611360892,0.08481538814841828,-0.35404041163375916,0.23032353064111089,-1.537143906435784,0.12434214759545144
