symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_fng_value,stderr_diff_fng_value,tval_diff_fng_value,pval_diff_fng_value,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005106840154908476,-0.0005854919738936815,10018.040332877968,10071.711103476779,-4999.020166438984,0.6507787778082821,0.7539303974839618,1.9899639328278942,-0.08109675506204853,0.15137321662348194,-0.5357404491427601,0.592213683409452,-0.14329828356649763,0.2205789981201022,-0.6496460895541546,0.5160157062806805,0.15246454482458488,0.1684652254798809,0.905020869382881,0.36559292261835674,0.19566021632363984,0.3054070083143769,0.640653983035756,0.521840833557343,0.20143731894510325,0.1939752447287801,1.0384692089279575,0.2992112627213821,-0.14782699210433267,0.3445284872307357,-0.42907044724383214,0.6679307141112772,0.6961806119445549,0.539360308652938,1.2907523983054636,0.19697922461388118,-0.30812644976016323,0.6410112529120515,-0.48068805088892724,0.6308050713028251,0.8452881405173683,0.7026803152537535,1.2029483709275617,0.2291773269972616,-0.0992045196187428,0.17116503556537938,-0.5795840212988473,0.5622781670856981
AAVE,1694,1694,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014225866000983745,0.008855425803652617,10676.73816881745,10730.895938571604,-5328.369084408725,2.869848496090601,0.002301638373377261,1.9175330180175916,0.043408588161034434,0.14942024392390688,0.2905134339302813,0.771459938840019,-0.6665521747210134,0.14090924078950462,-4.7303652406781,2.431979434051822e-06,0.015253168970585929,0.17415693347812444,0.087582898170987,0.9302188099585474,0.01725904168656231,0.36810653605871724,0.046885996297032044,0.9626097561995224,0.11796422061025524,0.3477250433886788,0.3392456852134105,0.7344677745938599,0.011068120348963914,0.482482997415069,0.022939917900241084,0.9817009692894458,0.7620829754281939,0.4729723409505474,1.611263301140637,0.10731337224450249,0.40281612775093717,0.7143206741131422,0.5639149787328354,0.5728885381638434,0.27455861663114356,0.7063541535737111,0.38869824045352935,0.6975494734727701,-0.1259412744827027,0.1509436688610243,-0.8343594364243152,0.4041991002566917
ADA,2738,2738,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.012048488612491082,0.008666379977083083,16367.743804173131,16426.525357538165,-8173.871902086566,2.911341348080703,0.001962203227889353,1.9947644403098643,0.026663289489190917,0.10452324596306022,0.2550943500033863,0.7986701813233994,-1.02124526201671,0.46266853040972544,-2.207293547958245,0.027379647865476114,0.05231170736071369,0.1110187102190266,0.47119721763573874,0.6375390017424571,-0.31214234745511127,0.2151680920124107,-1.4506906880835622,0.14698530743439078,0.07528182464201909,0.13081882828292324,0.5754662813460331,0.5650252380774072,0.3995850500281259,0.20600942695381333,1.9396444907237747,0.052529746867008904,0.6479283450352362,0.257816864944329,2.513134061944105,0.012025748330958326,-0.0236053098968059,0.3159318647796907,-0.0747164579719321,0.9404459971848578,0.5698560044876666,0.23269667589079884,2.448921980970161,0.014393321437177888,-0.020942602580797054,0.19654528575009308,-0.10655357365032672,0.9151512813682434
ALGO,2170,2170,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008059256887867905,0.0038640187826004535,13725.45202112115,13782.128282037,-6852.726010560575,1.7669558891152088,0.06965711382731492,2.0526131516559962,-0.09548223410028113,0.12823604817932524,-0.7445818508595867,0.4566067590776366,-0.07734947180622413,0.22213269297009114,-0.3482129117150657,0.7277147345571182,0.013096447799207558,0.1691052726386036,0.0774455319746067,0.9382764009568412,-0.09034649028394973,0.13833804493015495,-0.6530849147793326,0.5137720876102663,0.10119687979670627,0.13486733730446243,0.7503438699042063,0.4531305806306256,0.32853455604607035,0.16439864761611583,1.998401816620932,0.045800143158626246,0.5585691433352264,0.35402456988216346,1.5777694286053234,0.1147672206695495,-0.16254776440219798,0.3579795649211412,-0.454069953512585,0.6498247849044068,0.5926434399684388,0.27197421810246,2.179042719943308,0.029437851513191882,0.1968368144336382,0.2047328628262698,0.9614324330562801,0.3364440132101586
ALPHA,1693,1693,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007879273409733045,0.002470983561572937,11125.310560190832,11179.462311286965,-5552.655280095416,0.7733981970482505,0.641215025098703,2.01892322402226,0.019249422403087482,0.17290590632755823,0.11132888871141734,0.9113690800359506,-0.1973993479964017,0.23149787978569997,-0.8527047771631271,0.3939467221351295,0.049751163234627936,0.1788590975731404,0.27815841581266687,0.7809255851026436,0.08177075810926016,0.2773882926316587,0.2947880652549485,0.7681928459324824,0.32826096468030147,0.2298632952401273,1.4280703856497958,0.1534607305028183,-0.17543367588591047,0.32743460545418673,-0.5357823301619731,0.5921811634794214,1.0558753300879145,0.5699161200459539,1.8526854969513342,0.06410580208526773,-0.2416347839279181,0.7472604953974733,-0.3233608432617474,0.7464629319466987,0.9197768848727692,0.7214599180603388,1.2748828616087364,0.20253008915899867,-0.1690261369693994,0.17123735626741762,-0.9870868171162078,0.32374471368326474
ANT,2627,2627,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014818569326808806,0.011205434495489053,16716.427788091816,16774.52320133835,-8348.213894045908,2.234715854013712,0.017551704733843362,2.0086627547385687,-0.042387095642095265,0.15040160783578196,-0.2818260805321722,0.7781006352249595,-1.3933341826036616,0.43643058888706804,-3.1925676569939156,0.0014279783356505934,0.013424620988214175,0.15481652646747385,0.08671310030350422,0.9309066374888185,-0.2127252027159821,0.2982242842409711,-0.7133061053609436,0.4757241861293926,0.17021431082013197,0.16774390806286818,1.014727227866528,0.3103359048349263,0.4576027617542678,0.3041281051270625,1.5046381904200687,0.13254580972037855,0.30499051895612683,0.3550410802191168,0.8590288165186384,0.3904085187287262,-0.26252592430515376,0.4206209448445478,-0.6241389724474551,0.532594336377747,0.5041390332560095,0.2906824132777717,1.7343293237842423,0.0829852406920728,0.05402221195021553,0.31101945996110764,0.17369399315711917,0.8621202845417735
BAL,1801,1801,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02435720088884452,0.019365282075882284,11236.144468367365,11290.926165308963,-5608.072234183683,2.769188908262071,0.0032041980018360167,1.8957510366985046,-0.1498173150095488,0.140157080938332,-1.0689243383676579,0.28525042874596296,-0.7779751263643017,0.21403215602463166,-3.634851607413464,0.00028613616506717384,0.15303189868409345,0.1539036378313093,0.9943358119437609,0.32019616714393145,-0.2023075668370654,0.24610486578772495,-0.8220380616593074,0.41116664511041146,-0.4657495095857619,0.19933757605972624,-2.336486270136105,0.01957767762918605,0.740808513014882,0.263307569327281,2.813472149348225,0.0049554525013867385,0.3204837350566574,0.4803644229757234,0.6671679244506705,0.5047523856521501,0.12699704429619185,0.6727773390950775,0.18876534169092238,0.8502985125103583,0.0541553658232343,0.49504964417193575,0.10939380819840684,0.9129026225780271,-0.06616246310438535,0.1475570927053151,-0.44838551567641544,0.653930217944118
BAT,2794,2794,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01075107423239785,0.007364524087130286,16597.39035995318,16656.171913318212,-8288.69517997659,1.8938196201666804,0.04852899727163478,1.9965411241659374,-0.05068446267923149,0.10974099846837583,-0.4618553082860576,0.6442232991378624,-0.6107634819177444,0.17918231191024775,-3.408614809165289,0.0006627701786671512,-0.053518621150914256,0.14084070496179116,-0.379993987998238,0.7039805726577877,0.1667268302097315,0.2510134485364101,0.6642147310507444,0.5066111350035543,0.08887580204173877,0.16556286415347934,0.5368100056504792,0.5914442830672906,-0.2578788284988506,0.2680765283965349,-0.9619597435154784,0.3361582925493848,0.3459451611409531,0.2693218049408977,1.28450483694356,0.199078543714682,0.08442721668706107,0.3213617110065275,0.262717099752267,0.7927892211085403,0.1748732422235652,0.2493554371227223,0.7013010995124198,0.4831771977330116,-0.028947145818444014,0.24293550147846255,-0.11915568388431003,0.9051611193829002
BCH,2860,2860,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00202241724427743,-0.0013940141915542714,16484.25313399113,16543.03468735616,-8232.126566995565,0.438404382362736,0.9148061980159504,1.9983955322556812,-0.07234369557263629,0.11040077570643499,-0.6552824933495422,0.5123432223432861,-0.4173163135301541,0.4710111971625957,-0.8860008340440666,0.37569811105137707,0.046430097669716064,0.11435752297536741,0.4060082490569256,0.6847695818294728,-0.08361115385444809,0.20686417838483476,-0.4041838200662471,0.686110427413037,-0.06430605763216764,0.11911161525966164,-0.5398806614449929,0.5893250602001363,0.09603598743048378,0.17403989866760722,0.5518044320049829,0.5811292500540194,0.25416601503847863,0.24881773506817886,1.0214947699320318,0.3071140722402804,0.08321611098445097,0.3332213591684238,0.2497322236249271,0.8028139474892406,0.25443869410221587,0.20363125357541745,1.249507085158621,0.21159089166060938,-0.059056607724619695,0.1968818219883358,-0.2999596769686461,0.7642316274667861
BNB,2877,2877,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01238018948502917,0.008999216379424468,15654.495764376443,15713.277317741477,-7817.247882188221,2.892228247445428,0.00209245137672843,1.9935582139066466,0.14465510134916346,0.09361698643928057,1.5451800666857174,0.12242307196300442,-0.5063759562251624,0.2886701671729452,-1.7541679529419036,0.07951823441269842,-0.021326882133541405,0.09820399778131536,-0.2171691847111252,0.8280933501603018,-0.4667546274031601,0.4054763562000428,-1.1511266200016987,0.2497848291345995,0.04192077952500154,0.10181976427064633,0.4117155429035589,0.6805814940901096,0.10145434578697121,0.44034563678443867,0.23039707291714556,0.8178011613443954,0.5221883089801905,0.23542956306218138,2.218023523419065,0.0266383918296539,0.3627598911359549,0.30083266881141296,1.2058527172903655,0.22798279677241748,0.10450807661742931,0.17909571267615484,0.583531984411058,0.5595852880570436,-0.15143320783131164,0.1760608431223402,-0.8601186109627146,0.38980209001969135
BSV,2389,2389,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004095235767965999,0.0002762571237017175,15330.15664336662,15387.80809239598,-7655.07832168331,1.0468912602799259,0.3996898094494476,2.0803525866122388,-0.04141920531433614,0.12751181567834272,-0.3248264099604614,0.7453414049905663,0.11950585831657323,0.1878744868992241,0.636094130123566,0.5247770940718819,-0.028786817499652066,0.11870859700626595,-0.2424998544809065,0.8084140581447786,-0.1850776787175032,0.17313239064696992,-1.06899510845946,0.28518180476752086,-0.06392869221000048,0.12527725263065106,-0.510297686671645,0.6098909103808903,-0.2568207623806676,0.14584327574106234,-1.7609366018124852,0.07837934423561727,-0.0700444082945801,0.3784041118307575,-0.18510477583263601,0.8531628495775003,-0.17944319708589979,0.4614169490668381,-0.3888959810618199,0.6973883728507977,0.07228365593710498,0.23206384982446945,0.31148175811001816,0.7554620729855146,-0.02624181838801124,0.22197637707694773,-0.11821896876402556,0.9059042767923502
BTC,3803,3803,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00694981907942771,0.0035502558887525737,14125.218817166911,14184.000370531945,-7052.609408583456,1.5440544946901253,0.12671959506139982,1.9943333692202139,0.04965023180737414,0.10179753027951825,0.4877351314029257,0.6257781340084893,-0.32834614532437023,0.14195000000316593,-2.31311127380801,0.020793346283346417,0.049340848826840006,0.07766866314201569,0.6352735689118427,0.5253052955947499,0.10169107908206262,0.07902507471272749,1.2868204105055359,0.19827018360430243,-0.021031010421581495,0.07517031114208779,-0.27977814780929183,0.7796697276517992,-0.06235033901903541,0.06477795945701091,-0.9625239748469299,0.3358749862547261,0.2700985573264989,0.15014969020433147,1.7988619021386911,0.07215518013033032,0.05483423312537705,0.28988633834249145,0.18915770035562063,0.8499838205940877,0.28150049848615466,0.1632098663614693,1.7247762329680547,0.08468533974458725,-0.08959488130154863,0.17030390194610207,-0.5260882474078821,0.5988712685951464
BTG,2775,2775,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0018954981614436317,-0.0015213677634506872,17465.5781271073,17524.35968047233,-8722.78906355365,0.6847247877079866,0.7234493693920244,1.9987737233119827,-0.20457248418937093,0.12698240075157652,-1.6110302134670509,0.1072931796015716,-0.02839618139576744,0.45257045500262416,-0.06274422265501796,0.94997495189185,-0.01788618090469262,0.16615947392969835,-0.10764466498166826,0.9142857791641548,0.0280144670027278,0.1328918801584948,0.21080646138286308,0.833054633884001,0.08531636912367571,0.13636223238665335,0.625659815261474,0.5315924042188599,-0.0005914759459168945,0.17066536199608265,-0.003465705864383136,0.997235035278025,0.24322883645216004,0.3057051400249407,0.7956321455122293,0.42631770591495843,-0.0040653268984590235,0.4023371785881037,-0.010104278487822619,0.9919388560273288,-0.040870508116811685,0.2646887249321955,-0.15440970569215354,0.877298553598232,0.1121953250047091,0.22938452057678027,0.4891146304144562,0.6248013458679083
BUSD,2080,2080,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.20161288178222336,0.19808712905211545,8108.489487171635,8164.735677033229,-4044.2447435858176,1.6334514151966029,0.1003059892056164,2.326500618652803,-0.0005057063199776918,0.04085518614974766,-0.012378020213250582,0.9901252324998153,-0.8649235626822406,0.31508900765873354,-2.7450134459118347,0.006103940186580586,0.0436630814701661,0.030374370142517634,1.4374975107400534,0.15073019443776733,-0.054916138418370196,0.1053109006823512,-0.5214668003269054,0.6020982882212489,-0.011666315557311428,0.014320812119190958,-0.8146406405037389,0.4153732208766622,0.08701429432971994,0.11738919901267997,0.7412461713817552,0.45862959377357715,-0.010892872374498496,0.0476549473520969,-0.2285779961945376,0.8192198610149621,0.010367239769008493,0.02295619812541084,0.4516096137684364,0.6515982969116312,-0.020526533262335264,0.09411980531297152,-0.2180894148057307,0.827381278752443,-0.011553986609378251,0.0182615693180091,-0.6326940696155834,0.5270044222161085
COMP,1808,1808,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.028055426098823832,0.02310214118086773,11316.378226000583,11371.199415236104,-5648.189113000291,6.956130500673828,6.460858609863195e-10,2.134402742424911,-0.07746416228458375,0.1387115734108802,-0.5584549319120307,0.576604566916604,0.9594963149577188,0.12535430330490935,7.654275040114569,3.1784887481585675e-14,0.060138773379139435,0.15374027498272322,0.3911712359425506,0.695717855981113,-0.16512664146033051,0.25556640629160643,-0.646120293572222,0.5182854036886184,-0.04619566370725352,0.227232617487797,-0.20329679875176523,0.8389264783171951,0.004323741786632768,0.30813400003745295,0.014032017843234528,0.9888060219752001,0.7046447109056172,0.514363257859463,1.3699359356226488,0.17088104182377775,0.7945061711721224,0.6834423043757615,1.1625065731010078,0.24518682576020218,-0.06500757422662798,0.4494083304316587,-0.14465146688355313,0.8850025654122297,-0.1932146039552544,0.14892919949904437,-1.297358775882591,0.1946772186892769
CRO,2264,2264,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004645806520083839,0.0006142188777258362,13702.775010885183,13759.881544120195,-6841.387505442592,1.3815718577956264,0.19070517586482022,2.1202591444675276,0.015550599561205275,0.10866306587404564,0.14310841900255605,0.8862175317691203,0.017089290216376257,0.13523184652524778,0.12637030888419976,0.8994502370248465,0.139258625439738,0.12164842508140532,1.1447630772576645,0.2524306060045747,-0.07448272261703989,0.2963380014737659,-0.25134381094094566,0.8015715473353325,-0.06653277429857922,0.14547706078523998,-0.4573420300042905,0.6474699352119182,-0.02533779499002871,0.33565319578806274,-0.07548801950340266,0.939833224866115,-0.07774592558521984,0.26941513957661206,-0.2885729647836352,0.7729351033550207,-0.5765069518598877,0.28497922699823525,-2.0229788603625405,0.04319486187753619,0.21072257721272805,0.22623279001681196,0.9314413582446147,0.3517264941228764,0.31551201208180396,0.18546034723820953,1.701237039508791,0.08903839357683477
CRV,1750,1750,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010099350025848053,0.004883245898349542,11797.302064941932,11851.791225967374,-5888.651032470966,2.50159002984717,0.007658345864785147,2.000017676148617,-0.1596771169505312,0.18580554323451628,-0.8593775738380052,0.39025283407812694,-0.40440417270973505,0.15069763268475658,-2.6835469509710586,0.007354905697067437,0.012974878896283945,0.23779855761285207,0.054562479379743324,0.9564934124743256,-0.055072263692421436,0.35861138820232635,-0.15357087227065416,0.8779662464187666,0.5596585614761355,0.26461874043124023,2.11496192810864,0.034577673360818934,-0.24455284324920715,0.43612724436573136,-0.5607373682991652,0.5750501366245652,0.2114853121800781,0.6125675720775149,0.3452440544033835,0.7299534132922076,1.2536075460723637,1.0191233995140405,1.23008415533402,0.21883498858615827,-0.8971151565956618,0.8477066378182418,-1.058284926144478,0.29007520742069814,0.17024367929425133,0.2019201112090218,0.8431239378529266,0.39927718625537334
CVC,2819,2819,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008950457970203551,0.005557743676453786,17563.998268451578,17622.77982181661,-8771.999134225789,1.53389465054297,0.13009700616412087,2.003551585549267,-0.06640559847434685,0.1292723468117835,-0.5136875759750175,0.60751360810274,-0.4870068402343962,0.34036679612028603,-1.4308294633483798,0.15259794446523203,-0.030326144475961388,0.14289033949147606,-0.21223369322158028,0.8319411746749323,-0.39676603004537353,0.29732782239290845,-1.3344396324978325,0.18217538305450728,0.2971191032033419,0.17396072997320378,1.7079665235315404,0.08776060895303912,0.11871318636652994,0.29415121959494406,0.40357876649296887,0.6865553240615873,0.5422055158988001,0.38870932729395524,1.3948868160005992,0.16316780804347852,0.14613058221108605,0.4310077771061764,0.3390439569146976,0.734603694392109,0.31975862552236184,0.28095606736770035,1.1381089880642399,0.25517868009875283,0.025372008789581013,0.31786575227466685,0.07981988813836458,0.9363865814606531
DAI,2019,2019,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004457375500153682,-7.468500591545357e-05,1262.8782327358804,1318.8220451613986,-621.4391163679402,0.521487063936935,0.8599535973303557,2.6145561641952737,0.0036371822877015146,0.007616746510004805,0.4775243974476473,0.6330415391800674,-0.014935996721049546,0.016869914805920462,-0.8853629015250147,0.37606860390215524,9.29192164963186e-05,0.006734926700440202,0.013796618824410562,0.988993632131213,0.00755279334864076,0.009484303207762728,0.7963466775776356,0.42592617522790865,0.01057707604397633,0.009457423372414744,1.1183887648328583,0.2635368649471258,-0.023706406456650377,0.017384775493659528,-1.3636302904973627,0.1728391998222288,-0.004426140268482546,0.024487730972028155,-0.18074930149871532,0.8565828853912945,-0.009241944920594866,0.025327591837438466,-0.3648963146560862,0.7152278343110672,0.008212407363411136,0.02134976617949653,0.38466029531030677,0.7005304887004051,0.006552377355372308,0.008134179947170748,0.8055363168663822,0.4206071301493919
DASH,3803,3803,9,"log_daily_return,diff_fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0041939968189973476,0.0007849994707170849,16318.163316544767,16376.944869909801,-8149.081658272384,0.9235393861871886,0.5032540296433688,1.993451584159696,-0.17652788820181892,0.1442072323488842,-1.2241264555632032,0.22101421466018725,-0.2665756097254406,0.17398845187353718,-1.5321454203132978,0.12560687131200302,-0.013407023063001525,0.10865229942101746,-0.12339382723094122,0.9018046771956647,0.0732377192979875,0.12040135708634303,0.608279848917872,0.5430544297802418,-0.037223932808628526,0.13237001608915017,-0.28121121314632536,0.7785705347220216,-0.15592314808864305,0.1551980106793586,-1.0046723370107018,0.3151471119781282,0.23196869416455224,0.25669791452448837,0.9036641166105889,0.36625632521195983,-0.043902035537597195,0.46056131322116123,-0.09532289030215499,0.9240656263637573,0.2758248401073773,0.22829447923858368,1.2081975921069956,0.22707993374603322,0.007466792266759614,0.2724639222363901,0.027404700796611944,0.9781390289335388
