symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_ConSIX,stderr_ConSIX,tval_ConSIX,pval_ConSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00481375912844062,-0.0008694110288207657,10035.011454796515,10088.701158818463,-5007.5057273982575,0.6341446939027113,0.7685907546501328,1.9990058929487227,-0.06262335531670238,0.155638730787997,-0.4023635697852398,0.6874710418494261,-0.15254110684047906,0.21280595711808992,-0.7168084432703696,0.4735985130986581,-0.16088063257298885,0.2550182343069509,-0.630859330550246,0.5282239778838971,0.1925954319071681,0.30516808721688765,0.6311126227634922,0.5280584034205684,0.2134184779273759,0.1936226019497732,1.1022394894927496,0.27052586215055424,-0.15277818223381873,0.34425135588590483,-0.4437983456612847,0.6572493072349566,0.9638120215696683,0.7390418739315254,1.3041372289805713,0.19237723151647038,-0.44662336060669156,0.7166531127277616,-0.6232071732818281,0.5332385624959077,1.190209045419331,0.9807500684362731,1.2135701884956516,0.22509373746132574,-0.10075628754585222,0.17107928155667404,-0.5889450004059921,0.5559825714651689
AAVE,1694,1694,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014177498998370841,0.008813289500780308,10688.194214251187,10742.364010464999,-5334.0971071255935,2.8374408510737283,0.0025635904617738767,1.9165787234483458,0.05135671711538661,0.15371546132967076,0.3341024817616934,0.7383445826802357,-0.6660431258918451,0.14192323067157067,-4.692981710888177,2.914363239621117e-06,-0.04513563043731199,0.25656862448284073,-0.17592030408352075,0.8603780886899914,0.014292009125016325,0.36609627269534767,0.03903893645185956,0.9688640567549412,0.11230787032638037,0.3466330528874773,0.3239964261655028,0.7459817043037813,0.015073959288942299,0.47924340689192607,0.03145366023228697,0.9749115424945283,0.8322584125223516,0.6153427709660748,1.352511887343251,0.17639649071967486,0.3730874219823762,0.7501212103908315,0.4973695141722343,0.618994609063264,0.3592788877654027,0.8682819065238447,0.41378138259700814,0.6790878654816682,-0.12071521759532462,0.15030535608517173,-0.8031331732910462,0.42201315975554377
ADA,2738,2738,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006058571640424226,0.002742977550269976,17227.195017772774,17286.234674113097,-8603.597508886387,1.9367940749669894,0.04284168864971817,2.0758399678316866,0.07250845273461937,0.11094966845794536,0.6535256368260636,0.5134731579521161,-0.15349052906493632,0.105376266193043,-1.4565948729266123,0.14534460650338524,0.052173531193833944,0.15465849805148996,0.3373466822137635,0.7358818141557282,-0.302130918387177,0.22206914576692588,-1.3605263232033165,0.17377707631808934,0.06517209794962286,0.1366981390857235,0.4767592184174021,0.6335721993458464,0.3534301150847707,0.2093253410697085,1.688424885771824,0.09144526045553622,0.603349023670267,0.26514516287647366,2.2755422619244854,0.022951508712183707,-0.0026672503491268484,0.3182489080259467,-0.008381019641737117,0.9933136117350683,0.5191585778682752,0.25409352499728205,2.043179092713317,0.041131677548973934,-0.0736446536823225,0.1999351955306846,-0.36834261965157633,0.7126466745926916
ALGO,2170,2170,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008072570862311723,0.0038813282039834585,13736.420098913586,13793.105709993744,-6858.210049456793,1.8009912509935855,0.0633344523328951,2.0522260943969424,-0.094025173151619,0.1278705776970609,-0.7353151510300885,0.4622285372633974,-0.07821596754672303,0.22347129169100993,-0.35000454400590725,0.7263698919480008,0.0032892602917894836,0.1570532560279489,0.020943598209795366,0.9832926095485731,-0.09060528472448089,0.137977065549869,-0.6566691671793343,0.5114646017786677,0.10087104441571894,0.13551735156999764,0.7443404349856768,0.4567526527603024,0.3286920145096716,0.16404084717555062,2.003720537714105,0.045226442069852386,0.558450412942335,0.3533043121244282,1.580649864091264,0.11410659153452381,-0.16460984609203377,0.3582314106871602,-0.459507014687179,0.645917009001079,0.5973763220482011,0.2758864342348971,2.165297919431511,0.03047556829342102,0.19888861255645546,0.2046392361091054,0.9718987244968803,0.33121128747839546
ALPHA,1693,1693,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009156626248409072,0.003761834739779757,11136.528815556576,11190.692600348506,-5558.264407778288,0.9169398117034002,0.5092273318995236,2.02218246731924,0.05000289664333055,0.17706428156615325,0.2823996810709047,0.7776724138076317,-0.2030592710546155,0.23294334240428585,-0.8717109875679343,0.3834926540974646,-0.40416131781741055,0.2825502989320512,-1.43040484949055,0.15278985119644067,0.09453768288569986,0.27837842855417655,0.3396013239125726,0.7341999229890199,0.32413164077300816,0.23073542626856086,1.4047762236378052,0.1602757140710432,-0.18267964820595353,0.32737154472350505,-0.5580193243742154,0.5769067546662762,1.6611878952230623,0.7346499736425791,2.261196426628147,0.023876594357390212,-0.4784257214567891,0.8009782953101879,-0.5973017299694909,0.550387756744898,1.5798487539888808,0.9535420607589483,1.6568212551960624,0.09774539296173401,-0.1537293148590586,0.17081980470625074,-0.8999501850702751,0.36827784607300607
ANT,2627,2627,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.018852874711043244,0.015478658384103672,18496.593035090795,18555.32901298765,-9238.296517545397,1.401103756452959,0.18173196233418779,2.153267923563347,0.024995901469134968,0.15926929995390804,0.15694111468041042,0.8753033627891544,-1.0765144785842724,0.44293111539109126,-2.430433178382041,0.015147575066678643,0.022620970539715457,0.2137194641685337,0.10584422260144324,0.915714061277127,-0.24051555490011553,0.303050785022151,-0.7936476880683065,0.4274725149497789,0.14314885614938277,0.16891749057299799,0.8474483942651324,0.39682273429611314,0.4790522250119477,0.3080377269074498,1.5551738737374834,0.12002558164774814,0.2603408932369866,0.36218826452413094,0.7187999135726865,0.47232838361080987,-0.24855254516748643,0.42275678737910116,-0.5879327135311028,0.556628186099897,0.42661184630472343,0.3162181028787398,1.3491063364842093,0.17741952539250375,0.020768960744102713,0.31419987587920645,0.06610111059396885,0.9473023757026543
BAL,1801,1801,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02368391736753095,0.018694226996325947,11248.26692906327,11303.059925441097,-5614.133464531635,2.609648723496667,0.005401163159283218,1.8940251473243968,-0.1421840324771911,0.14308679058945786,-0.9936908354115166,0.32050992219958646,-0.7856397824794011,0.21320350653672304,-3.6849289922165482,0.00023568497778455593,-0.0903016407951362,0.23082030840637063,-0.3912205187602283,0.695681571156954,-0.1976430183954221,0.24885200449149153,-0.7942191134818835,0.42717489536432984,-0.4483258978022175,0.20111445464352284,-2.2292077344558803,0.02592580572742511,0.7262857181163119,0.26543427347826787,2.7362167989800903,0.0062774176125153635,0.47496694868443134,0.6106525244042521,0.7778023175255117,0.4367900428769107,0.16994308028246669,0.6597927083221885,0.2575704128568218,0.7967685601678107,0.12710772052047473,0.5572654673494368,0.22809186638649373,0.819601303721175,-0.0637217949916449,0.14732286274179712,-0.4325316098651016,0.6654080446322233
BAT,2794,2794,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004811655428003547,0.001559405935938174,17702.748659085828,17761.993000934704,-8841.374329542914,0.7028066890890208,0.706895922375673,2.0452333979248007,-0.019776962935259153,0.11138116779131606,-0.17756110236079858,0.8590807329094371,-0.3531722187574316,0.2231667521607718,-1.5825485442517997,0.11363922402015333,0.05302012875206148,0.16762344747440652,0.3163049653906971,0.7517950137265459,0.15479163604830398,0.2551308223998754,0.6067147614398926,0.5440902345094782,-0.05773405135063828,0.14552238415109775,-0.39673656865525425,0.6915924704153278,-0.11988385836983277,0.2681464402270618,-0.4470835349084522,0.6548499041246868,0.32550278972128704,0.27722135189039737,1.1741620459667128,0.24043164755783253,0.11269572656919691,0.3230921981302686,0.34880361463806914,0.7272634131839203,0.14281912001495964,0.27086787785282285,0.5272648833338628,0.598052127156578,-0.03530469520446042,0.24388130094724111,-0.14476179628096164,0.8849095392729134
BCH,2860,2860,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0013181344416514085,-0.0018691481080030936,18268.426529516644,18327.906849423016,-9124.213264758322,0.6044638393370854,0.794233199460404,1.977295095837474,0.0069391810344130896,0.11354725406434345,0.061112715508566035,0.9512737731997472,0.11841152545451761,0.07970224942654489,1.4856735701499608,0.1374772634818324,0.17644786850666896,0.17094077530864435,1.0322163813056378,0.3020592778265302,-0.1284569243191176,0.21174496600247084,-0.6066586929751078,0.5441262751806122,0.04409487918483261,0.14816165600558165,0.29761329870105824,0.7660202457357793,0.09714847270940667,0.1777908171616476,0.546420080971219,0.5848204376712859,0.2733365467787503,0.2523149195230047,1.0833150385854569,0.2787612274788232,0.09599262449140594,0.334271422285871,0.2871697013013349,0.7740034832665449,0.33110148942843365,0.23002057720534944,1.4394429118089067,0.15013606340522845,-0.09434375322842416,0.20968938664591608,-0.4499214516170726,0.6528016609837122
BNB,2877,2877,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008708467146796073,0.005563728410215463,18037.554711607518,18097.094922480297,-9008.777355803759,1.9940330619601996,0.03621041259524092,1.9734282144395252,0.3149101513852026,0.10632233710221262,2.96184376649344,0.003083415420185282,0.2952574429769747,0.23962049796443652,1.2321877530727592,0.21798106745395313,0.13856770363794224,0.13311192375601708,1.0409864099922794,0.29797055883045787,-0.11338350318188403,0.49860870849197864,-0.2273997650879539,0.8201292883833712,0.1217164617340557,0.12149340972396691,1.0018359185950543,0.3165082863025635,-0.19296553603461788,0.511562460432375,-0.37720816314692546,0.7060471278860864,0.42095879218791793,0.24882412675542942,1.6917925029098186,0.0907953633422083,0.24664406443311873,0.3090580669124767,0.7980508869971246,0.42490775481300913,0.12364171606397116,0.1943350175977135,0.6362297314831741,0.5246780211758393,-0.2553194002800543,0.1885283145901493,-1.3542761512248456,0.17575614600295733
BSV,2389,2389,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004145082018492285,0.00032954593427192425,15343.288008414322,15400.947939208398,-7661.644004207161,1.054851853719554,0.3934432807670904,2.0797987406712495,-0.03726589539512517,0.12696600647914164,-0.2935108099288554,0.7691576666185918,0.12211999146583977,0.1867168484522431,0.6540384141984628,0.5131510800704187,0.07582391037163339,0.1783920010205501,0.4250409768255178,0.6708457346007789,-0.18525940318033027,0.17328856495105507,-1.0690803702636484,0.28514330172260566,-0.06777327418744841,0.12522738683881718,-0.5412016963564115,0.5884198886541165,-0.2560644033958454,0.1457234989061072,-1.7571936257228715,0.07901507189666149,-0.06201060305367803,0.37159672010940364,-0.16687607747296904,0.8674819197340667,-0.18444166668780612,0.46133512661101345,-0.39979974653723444,0.689340367263608,0.1231945074488342,0.2326624862340351,0.5294988007861005,0.5965095125541315,0.001959479222196067,0.23570293162283582,0.008313342599113541,0.9933676946295025
BTC,3803,3803,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0034498578115613743,0.0010664001236273535,20477.580022310074,20539.93627950972,-10228.790011155037,1.547360808553563,0.12543697959166583,2.039587032258604,0.15633391565185334,0.05868736522102583,2.663842806080581,0.007758299203094822,-0.08928546872392976,0.08567970017700759,-1.0420842806344202,0.297439549880811,0.10712593577055139,0.10273694552572259,1.0427206612224025,0.2971446689597043,0.11727246158519689,0.06879318268462987,1.7047105106738796,0.08833097365798276,-0.0032329458990624366,0.06820156793484283,-0.04740280901094634,0.9621947057603067,-0.08837013464651869,0.060170534766275874,-1.4686612806381107,0.14200827040811062,0.3078423998493298,0.11964326555296773,2.573002320076626,0.010120028755395069,0.08089795652565071,0.19914855110038077,0.406219156898983,0.6846046782846898,0.3734014812559677,0.1731773309173749,2.156179906907806,0.031132799148214135,-0.2036889687818593,0.14778600314494114,-1.3782696902770373,0.1682019773686291
BTG,2775,2775,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003535824210280092,0.00025678304680387676,18666.603619763373,18725.77898330281,-9323.301809881686,0.7578079892941769,0.6558022173285434,2.0273472020911663,-0.19402497007420805,0.1384757045205448,-1.401148098476883,0.1612832462977695,0.10375059785220095,0.15790799610702266,0.6570319452466716,0.5112156586939982,0.009516432425278082,0.2031082827407142,0.04685398496242841,0.9626330232457055,-0.3693410627548769,0.4150537058054591,-0.8898633058537049,0.37361755336375324,0.08263052793389383,0.1437683655169063,0.5747476340626337,0.5655092588774089,0.23365100454674417,0.2888534158657377,0.8088912635720665,0.4186480526896501,0.264259632037603,0.31007405894416734,0.8522468243149169,0.39415173309924834,0.018756586442316155,0.4017777983123937,0.046683979356500864,0.9627685073853318,-0.01910360745100921,0.29597403543934386,-0.06454487611608166,0.9485410926039888,0.07242827491721883,0.24763346216995658,0.2924817764228876,0.7699404770012623
BUSD,2080,2080,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.2011208564164968,0.19759638960656956,8115.652146835337,8171.908097556661,-4047.8260734176683,1.6673299669259187,0.09157875191204755,2.3268661188792668,-0.0005723825589946246,0.04010165486191067,-0.014273290241153732,0.9886133444597259,-0.865589781399346,0.3157196906330038,-2.741640154479682,0.006166684265137363,0.005966074167302202,0.05015314426603049,0.11895713129481927,0.9053210311465473,-0.053037435956834966,0.10515322952782205,-0.504382377935449,0.6140471706280508,-0.009189450559633055,0.014049375306065417,-0.6540825025626422,0.5131323792817434,0.08346168033705595,0.11711198039492754,0.7126656047964066,0.4761342087678817,-0.00994381745803348,0.049888245483417144,-0.19932185150385384,0.8420308512562228,0.010080341856113902,0.025292988488202703,0.39854293456922385,0.6902717252149573,-0.01661892809327814,0.11295110269769996,-0.1471338277923386,0.8830409287632393,-0.010555264585250662,0.014589770502191965,-0.7234702275587434,0.46947398376009764
COMP,1808,1808,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.028011637887500607,0.023063733329235614,11327.479816993899,11382.312261154637,-5653.739908496949,6.851574912689441,9.683163292243505e-10,2.135513886936147,-0.07842617292061001,0.13822098132571667,-0.5673970201079628,0.570516509662095,0.9558882079871863,0.12587477371263023,7.5939616794820335,4.995155573868234e-14,0.07525628881729496,0.20215809245117802,0.3722645376438227,0.7097405147135177,-0.1642649770007314,0.2557287794166533,-0.6423405976262768,0.5207353405844029,-0.046543873308684314,0.22622276129250254,-0.205743546947974,0.8370149274051719,0.008024548722886297,0.30787169876622317,0.026064587147971642,0.9792087642985273,0.5764468501287202,0.5829596422300539,0.9888280566448482,0.32288257947363064,0.7468766712448853,0.6834825996373464,1.092751551599376,0.27465177150699344,-0.10804058109074116,0.46917902098588077,-0.23027581425895102,0.8179040933634338,-0.19140210420151235,0.14869365864664838,-1.287224391030388,0.19818457595838856
CRO,2264,2264,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004215521831527624,0.00018581845764442662,13714.161518984303,13771.277008780595,-6847.080759492152,1.4027123486713566,0.18113548050999687,2.1223962154808786,0.015546059726587076,0.10849399188979537,0.1432895910252639,0.8860744570172916,0.013091430954661157,0.13732910636551313,0.095328887670886,0.9240621862622689,0.11825004255940996,0.14580169687979885,0.8110333767713082,0.4174332865342544,-0.0662936287305727,0.29565068983839604,-0.22422957567529808,0.8225992680575442,-0.05874974901526556,0.14522965932632165,-0.4045299650759262,0.6858619477914338,-0.02739686823857347,0.3352054566124749,-0.08173156999125615,0.9348675275843629,-0.05870884463015002,0.2718699856085208,-0.21594456077504567,0.8290507649438127,-0.5773291019379811,0.28488751353619146,-2.0265159914235364,0.042831052620045856,0.2832215424725325,0.24529024991943205,1.1546384031389725,0.24836258167994613,0.3494777785723109,0.1846673872662913,1.8924715606029674,0.05855793427686554
CRV,1750,1750,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010188091857207149,0.004978555498560855,11808.90523047344,11863.406026171515,-5894.45261523672,2.3532512796777385,0.012247305871740673,2.00065040780607,-0.16505577767503238,0.18999784383306784,-0.868724477842235,0.38511975701522805,-0.40064204467179876,0.14869571566303608,-2.69437517338903,0.007121071386749217,0.11450856198340321,0.2884864913191171,0.39692867925914943,0.691469587133346,-0.05612042676532776,0.35803932386174747,-0.15674375138468863,0.8754653078576022,0.5589754239843893,0.26729389424785066,2.091239029448515,0.03665389470613978,-0.2453641760169889,0.4366810154664338,-0.5618842297389711,0.574268535719479,0.03512492262276648,0.7322913351189454,0.04796577664961879,0.9617491186877651,1.2527567909205313,1.0193461872915524,1.2289807001183388,0.21924813491986408,-1.0160455980717193,0.9939584922765943,-1.0222213562907805,0.3068207354438398,0.16772793708487438,0.2020526436404423,0.8301199829057937,0.40658682480343666
CVC,2819,2819,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007266396616616322,0.00405135436024695,18704.733187137725,18764.067571014,-9342.366593568862,1.4839199238234495,0.14781297598406312,2.0082049268063,-0.044012256408273845,0.12928194520808303,-0.34043621742722735,0.73355377954288,-0.37334350141669453,0.3103683971038247,-1.2029043707430154,0.2291158003405706,0.029558019968246432,0.19006298929500395,0.1555169687580169,0.8764250722926283,-0.487895212332914,0.29531490232379026,-1.6521184962009607,0.09862336804022892,0.28394811813814874,0.17102428081826895,1.6602795625252362,0.09697104221371716,0.16164253421210806,0.2930371547331264,0.5516110554626374,0.5812592105463962,0.5576354840805557,0.39160653337612694,1.4239687966210786,0.15456777395656981,0.18986229212335004,0.4296908244765517,0.4418579157575445,0.6586264060961873,0.31356179678495755,0.30420893535723686,1.030744860984236,0.30275017853503844,-0.01659792427889445,0.3247725315910892,-0.05110630568903028,0.9592444842732428
DAI,2019,2019,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0044947697600601355,-3.254053410839397e-05,1262.0573979537512,1318.011270742291,-621.0286989768756,0.4032484471817688,0.9339057676995064,2.6146065462907897,0.0036542498984236203,0.007653338837059845,0.47747133326027674,0.633079256452703,-0.01502213277243552,0.016878796015119733,-0.8900002558819334,0.3735739254456373,-0.002601102023859985,0.008780668213694729,-0.29623053286573203,0.7670851148676149,0.007538705753053242,0.009411703369739005,0.8009927063035239,0.42323202108968117,0.010589245812061623,0.009547373356642321,1.109126606502138,0.2675103304527819,-0.023665821346909775,0.017417704112588753,-1.3587222055176122,0.17438947265933474,-0.004275813335792175,0.0248223919409325,-0.1722562976995498,0.8632536532596645,-0.00962408035131676,0.025457847407977307,-0.3780398317691629,0.7054415478448111,0.007441685795722689,0.01929848645301084,0.3856098152485777,0.6998271074534259,0.006280283135520067,0.007601488281354411,0.8261912540107296,0.40879520047997586
DASH,3803,3803,9,"log_daily_return,ConSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004175666210149753,0.0017939444445084218,23665.46387511646,23727.820132316105,-11822.73193755823,1.7644577787115856,0.06983214095673433,2.0035265587079665,0.07208555645712098,0.0897140329011689,0.803503689735274,0.4217344159376104,-0.21531468529455283,0.13651803832609785,-1.5771885381200323,0.11483620585705795,0.030831117917469196,0.15666550093043866,0.19679583401810063,0.8439979390381502,0.11850346383919774,0.10711074905217756,1.1063638793289585,0.2686397757641706,-0.029169579478860383,0.1013375624607575,-0.287845679040841,0.7734807210235565,-0.12263183507669836,0.14742278073051643,-0.8318377558002041,0.4055533121945333,0.3175815696010944,0.19746953062063038,1.60825606159574,0.10786299887682095,-0.037402972409141866,0.31294946467264523,-0.11951761108863543,0.9048716684152045,0.4123711545019002,0.2539462684446451,1.6238519944694065,0.10449115604505231,-0.3416626163631766,0.241686008578632,-1.4136632003338223,0.15754353386062117
