symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_EPU_DUS,stderr_EPU_DUS,tval_EPU_DUS,pval_EPU_DUS,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
LEND,2730,2730,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00984350952383961,0.006530718291763216,18548.566732706036,18607.576803225962,-9264.283366353018,2.136267939321194,0.023681623212902857,2.003840400217516,0.1793937196100225,0.14375576406694726,1.2479062719633183,0.21217399762138228,-0.24001312277836911,0.18889195791578117,-1.270637063783206,0.20396767269809,0.014275948428006426,0.1804922985480535,0.07909450177568468,0.9369633398284832,-0.7073745881989912,0.3245379491192868,-2.1796359720600487,0.029370908131973485,-0.31906997013245353,0.2484060055224244,-1.284469630520467,0.19908828670080952,0.5516028710413321,0.3232324208705369,1.7065208667983947,0.08802656375035599,0.7555082946733099,0.40786531912330115,1.8523474766063974,0.06408541989826448,-0.2219881417599171,0.46316744606925575,-0.4792826949386335,0.6317764912028355,0.8138977420680955,0.3424487742888633,2.376699241392391,0.01753791167549404,-0.22187118492096058,0.2674423596028428,-0.8296037518156948,0.406836466804645
LINK,2801,2801,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008776628626107952,0.005545549183020304,18174.070082875496,18233.339718324125,-9077.035041437748,1.4301115215235152,0.16916738935726905,1.9374369052192468,0.14638672238631545,0.12090374975244626,1.210770738592031,0.22608691377545848,-0.5213140526471945,0.23048216785872694,-2.2618411545258104,0.023784671052613976,0.0444833939932532,0.15107374670841625,0.2944482079941362,0.7684375692892419,0.22056591414673177,0.2919078507124024,0.7556011721111292,0.44995280785090475,0.1127397164683647,0.16556872746389062,0.6809239775847914,0.49597669583443404,-0.05491209671900579,0.3383353096475071,-0.16230081565005935,0.8710808488398701,0.36725606365938746,0.3135711857890706,1.1712047544650004,0.2416175500498738,0.01715307556708666,0.3514699824882571,0.048803813758575405,0.961079172768948,0.3434138895173775,0.2865515876223468,1.1984365271427877,0.23084997562251772,-0.2832197901019997,0.23228062308547232,-1.2193001135431918,0.22283445881943384
LOOM,2585,2585,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0026058679845523125,-0.0009212625412389208,17323.641248058753,17382.09932308513,-8651.820624029377,0.7687061508388364,0.645608151756282,2.00858117488965,-0.12557335358021632,0.1428832361598755,-0.8788529498289727,0.37956397947850584,-0.12825404719260547,0.20484864011508044,-0.6260917676610133,0.5313108973555565,0.10754402549105796,0.23295374812871275,0.4616539821958014,0.6443689319111577,-0.2069134662878975,0.3209430904228982,-0.6447045362941234,0.5191767820114319,-0.055455300709866054,0.16204073181418807,-0.3422306236771171,0.732205599664133,0.08196328635233491,0.32425524081600837,0.25277397566827053,0.8004632930807416,0.3916210137797216,0.37672504363272874,1.039540695259737,0.29865209000930804,0.20671215803129223,0.4020774373185148,0.5141103151916989,0.6072195015177064,0.13233995769831086,0.33155635351025,0.3991477053514512,0.6898178625761278,0.01702227021168773,0.2753494503610682,0.06182060719339106,0.950710547054312
LPT,2354,2354,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006547904082497724,0.0026840022401218855,16170.507903541427,16228.018354721145,-8075.253951770714,2.214175585827766,0.018717417775726157,2.0175447140781713,-0.016792090596523177,0.1627329430833982,-0.10318802252545436,0.9178226872989251,-0.3073782368962447,0.11384418990424246,-2.699990549845268,0.0069846276280545894,0.03656745312529352,0.21217974079511054,0.1723418691542495,0.8631838410487868,-1.0171824178554327,0.4775682892683365,-2.1299203500588737,0.03328342812400789,-0.0954515372378213,0.17120932160938673,-0.5575136700535122,0.5772304469693484,0.9996348222501243,0.5282290563213199,1.892426799108245,0.058558848926431685,0.6073286462810559,0.47825693661985863,1.2698794304447059,0.20425526358511828,0.0006182143052690936,0.4956679842376348,0.0012472346912216692,0.999004958462427,0.3877455561795553,0.43575391195898444,0.8898269081197647,0.37365133354069546,0.0555444161702221,0.2662963390246209,0.20858122336066603,0.8347935273418344
LTC,3803,3803,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0019444563194369602,-0.0004426018504075646,23360.866900571404,23423.223157771048,-11670.433450285702,0.879953419153481,0.5423683852989598,2.0065435015329403,0.09638770957360351,0.0861212794644143,1.1192089826467495,0.26312242921327206,-0.1009452608180621,0.13602301025112556,-0.7421190034810805,0.45806155431724704,-0.009614127819541313,0.10652019479233238,-0.0902563860147331,0.9280882811256433,0.03845685641929759,0.08481887767030995,0.4533997321772987,0.6502870727663077,-0.05315721123081768,0.09051033925026312,-0.5873054025776745,0.5570338495619744,-0.07716001264315504,0.09356987483545055,-0.8246245148756108,0.40963706592972504,0.3311206400341373,0.20445799375073784,1.6195044955680165,0.10542255645849491,0.2110991298819377,0.29287575672950783,0.7207804846643664,0.47108935771296623,0.23657930590082163,0.24318696834362452,0.9728288794099106,0.33070088539830866,-0.32403521489257103,0.2148174632718577,-1.508421196104039,0.1315307112041403
MAID,3675,3675,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.015352142750958198,0.012934180754985092,26075.09410814692,26137.18719226339,-13027.54705407346,1.680644146354353,0.0879830721243944,2.212599801811148,0.04769670837851476,0.1384398176556922,0.34453027449905504,0.7304672999671371,-0.9044465388738612,0.6226801254628831,-1.4525058724196807,0.14644660171094964,0.06659321635103385,0.19681300636462495,0.33835780257154424,0.7351129505937228,-0.39818792396237646,0.417821485950925,-0.9530096879918363,0.34064800929653816,-0.37132574326103107,0.1913186323429055,-1.9408760072855529,0.052349895425618076,0.49299285646653307,0.397024413273926,1.2417192494568183,0.21441962331821116,0.4995837078175205,0.2709282068386861,1.8439708203397904,0.06526806135566324,0.14299815728948514,0.383366939036939,0.373005970855788,0.7091655709158466,0.5485310657751559,0.43867826319642855,1.25041770198114,0.2112268286121986,-0.4648397167908283,0.24612708647070333,-1.8886166632706574,0.05902210957284008
MANA,2836,2836,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003454674395520274,0.0002469104719007298,20148.193064122624,20207.588216729248,-10064.096532061312,1.10911454632137,0.3523731468690935,1.968736088377105,0.07730471939271265,0.16287607732034012,0.4746229198574809,0.6350928333803922,-0.3773684529564804,0.33993288075561845,-1.1101263641153172,0.26704004079651966,0.043405681296681375,0.16422333798961103,0.2643088481091967,0.7915614229307106,-0.029002701304991135,0.4446310791846142,-0.06522868657354695,0.9479965843549134,0.21111533681732275,0.25324497176371574,0.8336407840480203,0.4045546457533511,-0.0017139625532172353,0.4841228551268447,-0.003540346288274618,0.997175470821973,0.35632940172457067,0.3547812741608078,1.004363611262812,0.31529029363848077,0.19405390983052542,0.4261299890846633,0.45538665384090316,0.6488664550584013,-0.14299129047313136,0.32859968212663304,-0.4351534656020347,0.6634846231323739,0.1423069766909539,0.3402168356839782,0.4182831705105285,0.6757722162564762
MKR,2713,2713,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00418389330147706,0.0008309771173068414,17268.435907117437,17327.38281562169,-8624.217953558718,0.7682521935545765,0.6460334344478667,2.230476770059878,0.013456840357306647,0.11601272482622522,0.11599452023442747,0.9076655979623112,-0.27210446672893074,0.2636954483385412,-1.0318891298403974,0.3022174126468799,-0.0038626931976986217,0.14730595366836557,-0.026222247651950456,0.9790820283236243,0.018945823687529617,0.19400956780987716,0.09765406882456378,0.9222143104609879,0.07405382648457333,0.13266991118739274,0.5581810210151891,0.5767675274945583,0.04661631346050636,0.1927241314922218,0.2418810405296223,0.8088908960130692,0.5749553503692945,0.31316215105465417,1.835966921395144,0.06647356205228865,0.35556238974971877,0.3762268129649916,0.9450745600707738,0.34470622992465316,0.2996949896199225,0.2774335934762509,1.080240449127792,0.28013257637912514,-0.2704278342986568,0.20519555806831904,-1.3179029645886338,0.18764906595885186
NEO,2877,2877,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003533567453996689,0.00037241204584925747,18390.888308499678,18450.428519372457,-9185.444154249839,1.201178986341915,0.28942823043114063,2.0156434739637703,0.014037754012647508,0.11370414297775262,0.12345859741798623,0.9017527033472351,-0.233467269628432,0.14472747307246567,-1.613151011843715,0.10682292243535552,-0.008215210232288592,0.13429732435962607,-0.061171808682424784,0.9512266899465328,0.1125315037906972,0.1349263514054419,0.834021691230276,0.4043389773947824,-0.10236350050722405,0.11952669174151485,-0.8564070419399924,0.39184499967866804,-0.05702489102923979,0.12493014243867054,-0.4564542224646377,0.6480983239534162,0.39776673926812994,0.2739291299092494,1.4520790081723218,0.14659021645136336,0.01184290855378059,0.31579922635459057,0.03750138558123937,0.9700878738716082,0.3461526993534617,0.2770342607466012,1.2494941904318544,0.21158745020342457,-0.26229105566304683,0.21968259394263617,-1.1939546550125708,0.23259552772433031
OMG,2877,2877,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008700798106755614,0.005556035041179519,19086.895211206123,19146.435422078903,-9533.447605603062,2.4667550828759457,0.008440766469480204,1.9817530095935578,-0.016211241243141078,0.1291676080159414,-0.12550546915090618,0.9001322881682442,-0.3641783656540954,0.18718517188967282,-1.9455513595315264,0.05180729970990194,-0.037923998239253104,0.14084823339875763,-0.26925434081864474,0.7877535459839127,-0.2708346071781492,0.3446194200476542,-0.785894791247394,0.4319947584155015,0.2063063761598264,0.17071559718085064,1.2084799489133498,0.22696342066153627,-0.10143286575458338,0.3516142985115414,-0.28847764776338847,0.7730022126371091,0.29523146568108655,0.32987961401901705,0.8949672945357178,0.3708804939147621,-0.5648301528774862,0.3902642576499131,-1.4473017751581225,0.14792290815041062,0.5107848889802072,0.33399325844173555,1.529326943194312,0.12629489839779656,-0.010098982690356792,0.2626947957599308,-0.03844378668082165,0.9693365549259454
PAX,2374,2374,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0006526348180282415,-0.0032008897263753333,573.381477835489,630.9776193424581,-276.6907389177445,0.12861877340247332,0.9989750120898373,2.8873668603238136,1.9089273361631853e-05,0.005667279353461451,0.003368331111112873,0.9973127535473528,-0.004041812821981579,0.010281152891345716,-0.3931283645615098,0.6942605790830936,-0.0040620823613887825,0.006636538608016299,-0.6120784645902879,0.5405454649202658,-0.006533571950934841,0.015122730371455157,-0.43203652980993795,0.6657547719990131,-0.003516290580756706,0.008284532411511617,-0.4244404398576207,0.6712837524082945,0.008530204128583683,0.01641997336923489,0.519501703003137,0.6034601858179995,0.0015309388367826821,0.009472258586951676,0.1616234209327432,0.8716164015597154,-0.0031537684767290203,0.009662281931917309,-0.32639996420630324,0.7441510287428379,0.00398160894143081,0.014919531014924428,0.2668722587491453,0.7895910926238168,1.4896866278826804e-05,0.010709871441007586,0.001390947254678279,0.9988903038870345
PAXG,1932,1932,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004000316110862934,-0.0007375259372355281,5371.052688191585,5426.559300622638,-2675.5263440957924,0.782198030447007,0.6329852857454588,2.36094797017878,0.04008519604707876,0.022322650246170448,1.7957185013887658,0.07269880821456987,-0.008761759006222693,0.01162606858474343,-0.7536304247955761,0.45116494243671856,-0.008239052976611351,0.03836647436072381,-0.2147461583034005,0.8299883759346524,-0.04189717289334258,0.04646030097047024,-0.9017843625242989,0.36728620926790534,0.010100085814526491,0.040584153463114246,0.2488677218241392,0.8034901154874834,0.05816549744870205,0.06338947952626738,0.9175891312469192,0.35895096129180437,0.029085247360285872,0.12329308834827958,0.23590330771929052,0.813533234317737,-0.0788371888547017,0.08628131300181904,-0.913722637172195,0.3609790281877525,0.11038936864587552,0.08335943278943067,1.324257674889938,0.1855774304950272,0.027793716800557085,0.024919877464806246,1.1153231728289794,0.26485360062349705
PAY,2797,2797,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004799120856422201,0.0015503693467043833,19006.17112124784,19065.42631104571,-9493.08556062392,0.7798843964367769,0.6351479695841713,2.1601547159525745,-0.23588333189057797,0.14133834530982936,-1.6689266552080788,0.09524545601438757,-0.38055852012315483,0.31258840016448675,-1.2174428735132257,0.22353995058335596,-0.05982149175689367,0.18552607393772924,-0.3224425035640673,0.7471419376073662,-0.23281030993753302,0.31875544220890384,-0.7303728159877356,0.46522438680847633,-0.21269049494619963,0.18444676543788535,-1.1531267270600398,0.2489583354786903,0.25378646508865443,0.3362099594671186,0.7548451732093164,0.45040635948395624,0.47255688866223766,0.3550470342025062,1.330969824107045,0.1833089954592051,-0.028301081340548512,0.4327160424741747,-0.06540335592535276,0.9478575940183243,0.5066844298206905,0.37814238563814373,1.3399302724703088,0.18037843877724954,-0.12351896150770614,0.308162131969584,-0.4008245942428047,0.6885803295490033
PERP,1577,1577,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006943326679856532,0.0011284209805192402,10410.13275791906,10463.573486424792,-5195.06637895953,1.6988813569607537,0.08432011039880874,2.0026146629120745,-0.1603873614879479,0.1847959580293165,-0.8679159609243382,0.3855758280304592,0.09657534748532363,0.08032323266555472,1.2023339235789792,0.22941937490438008,0.1937139797165367,0.2334542823723499,0.8297726550484558,0.40679618878148305,0.07931708542405917,0.30626466381525586,0.2589821641059597,0.7956836812307134,-0.8291100133950237,0.3100190946468194,-2.67438369994456,0.007566035937912243,0.5650642882526405,0.44257649598043447,1.2767607258511555,0.20187959421453533,0.5284419437644832,0.5619604523163578,0.94035432846971,0.34718360061853926,-0.5888021782435456,0.7310907617115198,-0.805374939857167,0.42072792024476446,1.0189415152430505,0.7213627287834783,1.41252309633659,0.1579984399587084,-0.17418130669634752,0.20176943085567178,-0.8632690589336182,0.3881242362400871
POLY,2542,2542,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.039751936213163086,0.03629780648731118,17500.949379211652,17559.23772448753,-8740.474689605826,5.9609980912409615,2.7304340169336957e-08,2.0207233995045084,-0.11791965000927977,0.15834169526734743,-0.7447163541490558,0.4565131524591818,-1.5828238408361717,0.2445504565307942,-6.47238145980259,1.1568499750443213e-10,0.15614661203161695,0.2304998519840645,0.6774260837374076,0.4981982859591674,-0.17487399046496593,0.33310583742238437,-0.5249802639850544,0.5996434241636839,0.2651987559864726,0.19438341574023998,1.3643075206624886,0.17259350045079833,-0.04916710933813963,0.3661579829312007,-0.13427840339446562,0.8931932301344254,0.47196347804030936,0.3949555146923209,1.1949788279522553,0.2322085604383498,0.038324794924877836,0.46882892636238443,0.08174579845624634,0.9348553967964268,0.14699205898460185,0.3989134638564167,0.3684810674565489,0.7125457336441889,0.10344822637072017,0.3071860016821776,0.3367608738817152,0.7363254135830648
POWR,2767,2767,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.002254934602394454,-0.001037953402218017,18366.809449641863,18425.95562673227,-9173.404724820932,0.6730340119518321,0.7340644273732628,1.9781711235345296,0.017869115431624078,0.13102176668213622,0.13638280023330193,0.8915287370313403,-0.08357632674654662,0.25076873573371905,-0.3332804885027329,0.7389481878639422,0.05856272511547719,0.14261204907593328,0.410643599155466,0.6813661514997835,-0.34585411294802004,0.27598907156614194,-1.253144231347344,0.21026065686203985,-0.3014707949662623,0.213156751284708,-1.4143150200464234,0.15738358761246105,0.47187939323588607,0.30574315304244526,1.5433849901141588,0.12285342249914172,0.09520549048394975,0.33984632300473483,0.2801427705387394,0.7793892199947258,-0.1567787390191726,0.43343436435480986,-0.3617127572534451,0.7175947164917535,0.07415579787894705,0.34864064214222396,0.2126998086720367,0.8315770136951606,0.1180645956006893,0.2978347994683079,0.396409673454738,0.6918338465769754
PPT,1818,1818,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.016555710830418402,0.01166024700158752,13022.145406678132,13077.200329425506,-6501.072703339066,2.837445507418918,0.0025521188845651606,1.9843093895223878,-0.22554045745940834,0.20331897614758135,-1.1092936907949866,0.2674510312475542,-0.875719469833119,0.28597823755432356,-3.0621891977593925,0.00222962962907761,0.3836222315479434,0.2918952590192129,1.3142461882969223,0.18893007653438385,-0.8297592041946737,0.41947828047523034,-1.9780742956575317,0.04807192752935051,-0.019220729650960555,0.29194832427801237,-0.0658360677304567,0.9475156192965329,0.7779231532498088,0.4639804540024366,1.6766291479289848,0.0937878985539018,0.4913213297101854,0.37877762748811306,1.2971234150454258,0.19475422221882321,0.6660446672346905,0.3827011690095204,1.7403779271395992,0.08196281431652008,-0.5284710255519158,0.4376780066774391,-1.2074424976564782,0.2274197086560187,-0.2547480614029982,0.4621489972748916,-0.5512249575464752,0.5815475846679456
QASH,2593,2593,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.018321933596816442,0.014901452529209602,17979.43318349312,18038.038891348508,-8979.71659174656,1.4475734035063919,0.16201844533662624,2.05803850773917,-0.09739834611316642,0.15194583749377302,-0.6410070043357255,0.5215749988962382,-1.0062444367931187,0.517814856598708,-1.9432513841002634,0.052094292633546244,0.16672624087187699,0.26317892050416,0.6335090992564566,0.5264573289356371,0.5554555270502395,0.41736514866903296,1.3308622649053792,0.18335179899278256,0.1455078045868798,0.16566306148274038,0.8783358419465136,0.37984318436466635,-0.5871232189499014,0.48004792349087594,-1.2230512626330745,0.22142190663575484,0.23632003817635763,0.2997360166374977,0.7884272328278931,0.43051919833036234,0.3267582013001049,0.36789648275509523,0.8881797370094031,0.37452677475915874,-0.006575940856692192,0.352443341713015,-0.018658150341925882,0.9851152546760253,-0.13882880699362024,0.29441010210572005,-0.47154906030964944,0.6372885200624145
QNT,2268,2268,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004913324669792329,0.0008936747245626986,14373.261067573738,14430.394446462456,-7176.630533786869,1.0544416504199123,0.3937873708671588,2.133930972883836,0.14611496926652556,0.1252882909764378,1.166230045344018,0.24364626831843034,-0.14839360059675744,0.21820084979372437,-0.6800780140730018,0.4965257214888099,0.17323284144025025,0.1563674108608638,1.1078577082432692,0.2680428559279975,0.2964564133730142,0.38891111327653455,0.7622729288330194,0.4459778153710824,0.2625716030596878,0.1823181269202695,1.4401837463727036,0.14995591816037745,-0.26017474411740654,0.4078732950420432,-0.6378812912735264,0.5236165075840555,0.29172118216607906,0.357795040612927,0.8153304239945334,0.4149703464159932,0.2652209917150369,0.38366661822253945,0.6912798224243732,0.489461728950904,-0.11553551423162778,0.31157209969559585,-0.3708146985705887,0.7108108051931739,-0.09393965186308836,0.21209453146490517,-0.44291406861959737,0.6578708893014911
REN,2367,2367,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010708808527434166,0.006882585612413505,15846.980256059309,15904.546489404698,-7913.490128029654,3.2701265187743584,0.0005788167156016652,2.0376282590758557,-0.021612477362640506,0.14788220374672525,-0.14614657352317892,0.8838183394315122,-0.5910078425042538,0.14339461541970555,-4.1215483634055365,3.8951185637632165e-05,0.038315666670458506,0.224447679284734,0.17071090595617747,0.8644659281780402,0.3244916291126294,0.30598458548184426,1.0604835815557228,0.2890347111264317,-0.0357213485390131,0.1968893573639877,-0.18142853944601658,0.8560470202783315,-0.3231374424833462,0.3359861299765115,-0.9617582800395256,0.33627096424120795,0.21827958180719606,0.41984321016297055,0.519907376190427,0.6031775869957314,-0.3726296099055436,0.4092126807710905,-0.910601326438339,0.3625997842460764,0.21194299715346424,0.3524191292187836,0.6013947018803538,0.5476357064854727,-0.007508707411249177,0.25210732939223574,-0.02978377276595127,0.9762420545511503
REP,3161,3161,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010548880235424107,0.007695608823094391,21147.796124890276,21208.28720210354,-10563.898062445138,3.824047903382316,8.020987586317516e-05,2.0491684153060765,-0.07702523211142936,0.12686798355424436,-0.6071290009783756,0.5438094704965157,-0.6799353644365388,0.12702040603143616,-5.3529616671848945,9.278858844071507e-08,0.13949929342351872,0.16120571073728915,0.8653495759269685,0.3869134581609145,0.04565125226493069,0.32492327799302906,0.14049855875795422,0.8882751577202539,-0.0922460726959416,0.1477070446806003,-0.6245204681700405,0.5323314822687663,0.031110223819680607,0.345219315485886,0.09011727450966607,0.9281998046384249,0.2829725693690929,0.3008911015063972,0.9404484478018923,0.3470603619547854,0.17155774547504216,0.384138933899911,0.44660337793237653,0.6551924418699562,0.11010649259721592,0.31995456231070385,0.3441316535761503,0.730770462672546,-0.24518329402725203,0.26479870653922627,-0.9259233069211821,0.35455742775641197
SNT,2903,2903,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.012917985183143355,0.009815037878444954,19469.567656675936,19529.19877726573,-9724.783828337968,0.8354086480600189,0.5833513926789529,1.757484936626416,-0.0882903477060161,0.13326530951575968,-0.6625156091021202,0.5076941624957503,-0.7145559386445077,0.6945918520114428,-1.0287421837374735,0.30368774335841536,0.1275561082940542,0.1654368573990342,0.7710259388353135,0.44075518171381756,0.63223311202309,0.661398147351332,0.9559039657957348,0.3392014607184757,0.04826043823972799,0.2722769328611764,0.17724761966645977,0.859326430788625,-0.5228151396406882,0.6025238668799447,-0.867708597748977,0.38562659996018744,0.1867292191558726,0.3437983571630534,0.5431358680614999,0.5870785402901162,0.021709442181651162,0.39720378995755373,0.05465567733875624,0.9564165943893774,0.11017430727481106,0.30137738610294373,0.36556925753274,0.7147135246137387,0.04596613904420467,0.25373551500597313,0.181157687141757,0.8562566289041413
