symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_fng_value,stderr_fng_value,tval_fng_value,pval_fng_value,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00511117683895479,-0.0005739021505368758,10028.959958697873,10082.643355560987,-5004.4799793489365,0.6465809329230536,0.7576516628574276,1.9984868927828343,-0.08869782174931568,0.1520528224798841,-0.5833355823503374,0.5597509307897769,-0.15356297205675468,0.21345161778879385,-0.7194275388847238,0.4719842656440444,0.1654385687850905,0.22840435604254183,0.7243231768936862,0.4689749288479552,0.19379659556726372,0.3053355888489833,0.6347003187470363,0.5257160690711007,0.208816619130283,0.1934562710494869,1.0793995872941584,0.2805749030555566,-0.15106759203943523,0.3443515904030717,-0.43870159525793695,0.6609379409933519,0.5155765399823198,0.5963406268245254,0.8645671899426524,0.3874080416805544,-0.12266870132575373,0.7096287400906879,-0.1728632091621277,0.8627811619415363,0.46490098296072047,0.9017186665544853,0.5155720960475751,0.6062256628289306,-0.10113940801459,0.1709990698561224,-0.5914617436205243,0.5542959585220387
AAVE,1694,1694,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014460442066326906,0.009094527957795195,10681.97266801689,10736.13645280882,-5330.986334008445,2.958510443382056,0.0017105094199751098,1.9179086916835333,0.039479485145976254,0.15244843817746354,0.2589694300443972,0.7956910713659948,-0.6617924240640709,0.14096998484099052,-4.694562639064982,2.892348526822845e-06,0.1231322338290419,0.23219717726677055,0.5302916912188631,0.5959809322217378,0.016487008194312813,0.3660757327374986,0.04503715138674633,0.9640831362835252,0.11319799975566677,0.3436876889891821,0.32936297511439167,0.7419230766221776,0.014468660188791699,0.4770289567743876,0.030330779679764174,0.9758069107119808,0.6171303189122994,0.5595516471739642,1.1029014426624215,0.27023050830985146,0.5263157663801046,0.7871825121667004,0.6686070361642479,0.5038395378099941,0.013261196260501595,0.9211399350911442,0.014396505628853706,0.9885153845127638,-0.12633811010926704,0.15131356252866965,-0.8349424069989069,0.4038707903449278
ADA,2738,2738,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01212580851697509,0.00874781926038426,16385.326496996306,16444.119411847125,-8182.663248498152,2.867551611322818,0.0022729860368407386,1.9971259747908563,0.030595266274433694,0.10440277466178592,0.29305031761413847,0.7695067930618572,-1.0190607835268994,0.4587850489677072,-2.2212162009634904,0.02642111136192863,0.09869302844714468,0.13493065791107664,0.7314351680711907,0.46457850453975746,-0.30876461851089343,0.216796768412499,-1.424212273881349,0.1545035780766877,0.0698009135413223,0.13014650197244984,0.5363256982204421,0.591778797305852,0.4006702011886173,0.20666009604229,1.93878842051165,0.05263387738573221,0.575708707247488,0.2631875223085009,2.1874468143389363,0.028797614698810824,-0.07659746096165541,0.3152246166745933,-0.242993271812674,0.8080295443597525,0.5253938889373895,0.24261866848142885,2.1655130342025,0.030437971347421284,-0.00199810723688814,0.195576516346191,-0.010216498760778008,0.9918493294577012
ALGO,2170,2170,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00851871106508284,0.004327385747837975,13729.995297688447,13786.676234779272,-6854.9976488442235,1.84687487162512,0.05563419043568898,2.053327854827211,-0.09449041253631668,0.12818777004518608,-0.737125019828404,0.4611275490103709,-0.07544537765896255,0.22523310493921517,-0.33496575771720316,0.7376839155600559,0.1399079225435078,0.1648733029683335,0.8485783933762723,0.39621133146809007,-0.09048211539714218,0.13855159371777265,-0.6530571967396693,0.5137899195016049,0.09545299936008081,0.13535029051963945,0.7052293644410795,0.4807446573911236,0.3285262393006484,0.1648717612057374,1.992616788333404,0.04643090348704501,0.44018360440632337,0.37764664816468024,1.1655964816464428,0.24390819862573254,-0.2360961932493717,0.3643891335540567,-0.6479232543150113,0.5171044545147734,0.5262724820725833,0.2868717287112685,1.8345219462258953,0.06671602457782642,0.2172057653965232,0.20502584650499084,1.0594067484620084,0.2895347531855186
ALPHA,1693,1693,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009588788422360661,0.004193085695848198,11129.49687692098,11183.654646675135,-5554.74843846049,1.0334725899485908,0.4105189011054111,2.0180648448294427,-0.002871233673138643,0.17440821261489112,-0.01646272059148145,0.9868672306274004,-0.21714630754962538,0.2303329341768407,-0.9427497128261687,0.3459467831122742,0.35763678074623667,0.26355403236221187,1.3569770780616381,0.1749738703004214,0.10020210746335706,0.27726753214533606,0.3613914210872474,0.7178530729824919,0.32313806226005476,0.2295699276428124,1.4075801024027195,0.15944357082581861,-0.18768835499385356,0.32622983547803747,-0.5753255361172788,0.5651495048742299,0.6306744676803455,0.6455408009414106,0.9769707302166104,0.328726682470479,0.12661675645972098,0.8203622696518706,0.15434249129162428,0.8773585481807691,0.13394609416707587,0.9430885894974285,0.14202917483972072,0.8870742794768531,-0.17879200368693043,0.17178259904057916,-1.040803927088654,0.2981188529101869
ANT,2627,2627,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014715160463341426,0.011106058487016734,16737.09914778264,16795.20672894793,-8358.54957389132,2.213382513609253,0.018742439532778613,2.00872391565885,-0.03697753477069081,0.14914228041593286,-0.24793462100463165,0.8042057103965126,-1.3875757259289787,0.435296674325773,-3.1876552424347873,0.0014523342945193672,0.066625150633988,0.17081101007690663,0.39005185089644057,0.6965320155504005,-0.21098919806308047,0.2976453345419595,-0.708861096001278,0.4784779304991059,0.16922060438095315,0.16776507836734628,1.0086759773116774,0.31322937906179565,0.45629176940746285,0.3035213060767814,1.5033269832202003,0.13288326176008208,0.25631668230611626,0.3582497999487557,0.7154691568363192,0.47438717517265816,-0.2959540058564767,0.42530560115987154,-0.695861999111618,0.4865810711821622,0.4731161583618324,0.28752157894264213,1.6454979139364516,0.09999507952436329,0.06508019677539273,0.3083504292248285,0.21105920604359074,0.8328585749507347
BAL,1801,1801,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.027206586669702992,0.022232074896991194,11236.405304888356,11291.192653144035,-5608.202652444178,3.316871234147438,0.0005010851100712235,1.8994322090795506,-0.15541729391953468,0.1402780353279965,-1.107923229436025,0.2680463569597383,-0.7866643965652291,0.20574532038149643,-3.8234862163891883,0.000136160637150728,0.40092656987895864,0.1780589517940272,2.2516507361154043,0.024467220335646404,-0.20209754936111368,0.24823685511190252,-0.8141319276302074,0.41567951196807074,-0.4663716643520694,0.20060160665297858,-2.3248650503525,0.0201924139703392,0.7404488527633847,0.2655134246339052,2.7887435589531084,0.005348239816271593,-0.20097732411238456,0.5236803917763083,-0.3837785933337612,0.7011889110330609,0.06152974628588653,0.6710519065640383,0.09169148568690455,0.9269535969303098,-0.3833029448178551,0.530049005188378,-0.7231462394342769,0.4696861325917986,-0.06274735820257736,0.14752097370124442,-0.4253453365190746,0.6706369489754581
BAT,2794,2794,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010236201921041466,0.006851751243719839,16640.260967743852,16699.053882594675,-8310.130483871926,1.8596562075350813,0.053522641880172965,1.9934436339100543,-0.043419228984495475,0.11027605074873677,-0.39373217203276434,0.6938106795258097,-0.5951501074019847,0.17919890883736234,-3.321170375775737,0.0009086474880095812,0.02016470326909444,0.13059247548584707,0.15440938074016206,0.8772987962657413,0.18222211316255083,0.25190595268439925,0.723373589312707,0.4695146725283489,0.09483561415666741,0.1658548464463991,0.5717988722585585,0.5675070693960256,-0.28549005664048677,0.2698590201249276,-1.0579229721812635,0.29018764480428444,0.32332244986305114,0.2761210500020373,1.1709445906448117,0.2417270498328818,0.07550170162022748,0.32470072482819606,0.23252704982465483,0.8161467591633713,0.15338263881104525,0.2528530790529554,0.6066077557193681,0.5441635695153761,-0.02815091322160851,0.24364521046161033,-0.11554059761024554,0.9080254575941678
BCH,2860,2860,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0025321568548620776,-0.0008786374416067666,16509.495237031544,16568.288151882367,-8244.747618515772,0.5491600681167349,0.8391305430341596,1.9964283580211248,-0.059640888229316305,0.1108492957960032,-0.5380357881485678,0.5905978333076416,-0.40768361366262906,0.4704012633691094,-0.8666720211223843,0.38620073913290487,0.1521821964608375,0.13088047132464564,1.1627570937099811,0.24503348259960955,-0.08994188037828868,0.20549180640171094,-0.4376908352368244,0.6616463275473676,-0.0736941055963398,0.1190004698433341,-0.6192757532248335,0.5357883133524168,0.10162991075911157,0.17358079277177163,0.5854905323121615,0.5582681257107188,0.14214521415404158,0.25747345878100125,0.5520771532220172,0.5809423672981935,0.0001855294741812119,0.33638994611456363,0.0005515309726825977,0.999559983771249,0.18183950798721749,0.20935907380781774,0.8685532691749392,0.3851707131567711,-0.029121961233107667,0.19709690666573385,-0.14775453215253656,0.8825478110203562
BNB,2877,2877,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013725066120060081,0.01035254544949804,15666.908959314067,15725.70187416489,-7823.4544796570335,3.306920859953899,0.000506136988395009,1.992750287985372,0.1566191945380758,0.09370454225791175,1.6714151818489031,0.09475857500891037,-0.5202553521004826,0.28596491075401753,-1.819297866751204,0.06897956666498915,0.18965003293572086,0.11633373127775753,1.630223932927191,0.1031738312608738,-0.4665842151185534,0.40339561873191104,-1.1566417518000767,0.24752372443322615,0.03745185520848681,0.10108972573491831,0.37048132177838355,0.7110537030980935,0.10101352856711548,0.4379867071166522,0.23063149389191806,0.8176190230725602,0.3872475319479365,0.23675730801426198,1.6356307443933649,0.10203646194212262,0.2605947365508514,0.2977972540057165,0.8750743435191282,0.3816133015095561,0.01658498931663359,0.1879840057109311,0.08822553415601138,0.9297041350135535,-0.11222030947480174,0.17542019103470688,-0.6397228780385888,0.522408456275126
BSV,2389,2389,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004159849093137713,0.00034274459647587463,15337.699356630688,15395.35504744166,-7658.849678315344,1.059432402222011,0.38987585481933623,2.0799114375017145,-0.03723695455034277,0.12760748814078066,-0.2918085379853396,0.7704587952246578,0.12330379552677181,0.187087539587432,0.6590700577851579,0.5099154098011045,0.06156110323447079,0.1574734569670516,0.3909300298611677,0.695884423847719,-0.18537945430946248,0.17316711387326159,-1.0705234392549785,0.2844937936642875,-0.06887227023654621,0.12556361429667437,-0.5485049998148256,0.5833973444503968,-0.256256250870002,0.14580159768888282,-1.7575681949440063,0.07895130891942553,-0.1194862938983279,0.4121414003173576,-0.2899157760087216,0.7719062714596642,-0.217276831839808,0.47990706924536564,-0.45274772088993603,0.6507722417431331,0.05284315335351794,0.24448094160212475,0.21614426469085019,0.8288940721737558,-0.010499267265687347,0.2273886181809853,-0.04617323131508135,0.9631761045772191
BTC,3803,3803,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007317253497960641,0.003922821614025129,14139.42885885301,14198.221773703834,-7059.714429426505,1.6185258490582792,0.10418940232376617,1.9953316683817517,0.07732815585766613,0.10279449996911719,0.752259662539319,0.45196218860438064,-0.32620307191787523,0.141923574621583,-2.298441769012968,0.021614689695896947,0.10691641065976858,0.08613969514597905,1.2411979224976322,0.21464325138244014,0.09432683308848401,0.07943389518451377,1.187488450231177,0.23514216501344135,-0.020772527736117152,0.0752664139090774,-0.2759866806091038,0.7825799635350995,-0.05831683447407563,0.06476196248579516,-0.9004797297003901,0.36794739105751884,0.20066233624931534,0.15316303277386745,1.3101225055106913,0.19026872182141752,-0.019627701236470715,0.28787609386992924,-0.06818107392182096,0.9456466716848455,0.233052259350148,0.1695921876614593,1.3741921875279302,0.16949902847586265,-0.061838827292874224,0.16874718569121383,-0.36645842145202656,0.7140524878760466
BTG,2775,2775,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0027486331196246994,-0.0006614209464554932,17483.554186979316,17542.34710183014,-8731.777093489658,0.8561720708917852,0.5641760786632106,1.9996408393641396,-0.1953202592716386,0.12653584140302176,-1.5435963210576495,0.12280637413792045,-0.030332355270718397,0.4508660477134262,-0.06727575834230451,0.9463672850745869,0.2163416858672528,0.1575391700907826,1.3732564780085168,0.1697895969450073,0.040729529388687916,0.13445633054925624,0.30292013192913375,0.7619746674548337,0.08227007487500562,0.13528748835444376,0.6081129591190559,0.5431650272606148,-0.004368034598839832,0.17261485167222848,-0.025305091401602683,0.9798135311988166,0.0866964404164917,0.32894934791273256,0.26355559287958075,0.7921430119270751,-0.1203831065388201,0.41483591599339203,-0.29019451281247716,0.7716902945204032,-0.13497448517171723,0.2807916257472346,-0.4806927016164639,0.6307748714042092,0.15754764656895218,0.23187935930199485,0.6794379932875586,0.49692012968599275
BUSD,2080,2080,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.20118781764335114,0.19766191786835852,8112.5293501142,8168.780421596589,-4046.2646750571,1.6450246176212322,0.09724563929551928,2.326703431488737,-0.000526724790763598,0.040750832098053635,-0.012925497803240088,0.9896884965220077,-0.8656779826224379,0.31570255076169457,-2.7420683821965306,0.006158706567818766,0.0186455231503549,0.03485588589621277,0.534931839227211,0.5927553194827908,-0.0532031951410214,0.10533545835483912,-0.5050834350746168,0.6135548210445648,-0.009424698526611559,0.01409202158937859,-0.6687967703452231,0.5037008358930533,0.08362972572044579,0.11724983891014566,0.7132609008063148,0.475765950310165,-0.02764902823219566,0.03584672909859589,-0.7713124440488678,0.4406111305297712,0.00017036555811182977,0.028354870408988327,0.006008334922871835,0.9952066589299611,-0.029863492414768773,0.07807631932209932,-0.3824910379236586,0.7021370394469482,-0.009881362992902777,0.01717592107148012,-0.5753032371178252,0.5651497106716217
COMP,1808,1808,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02940031868540216,0.024456687031847446,11319.47902086316,11374.305839144707,-5649.73951043158,6.821548726233538,1.0879231969479599e-09,2.1374137369010175,-0.07978499976637465,0.13891684711889685,-0.5743363848309044,0.5658132971021219,0.962128385879177,0.12761962373368765,7.53903167656186,7.524121711134217e-14,0.2604528230719592,0.17817198346692428,1.4618057115601988,0.14397227022059272,-0.1619387767553726,0.25553331864988366,-0.6337286175085893,0.5263399658498722,-0.053475522527956815,0.22550846446950037,-0.23713310564087178,0.8125810186982719,0.009792130764594287,0.3072054522563204,0.03187485994364485,0.9745754471337549,0.3565857867795167,0.5447866580452696,0.6545420698424773,0.5128478173152347,0.725724425182981,0.6780561387462347,1.0703013861431705,0.2846298450913882,-0.33330905792492016,0.4909193969577226,-0.6789486420591043,0.4972593193296896,-0.18828145800226662,0.14877218217758717,-1.265568974296,0.2058342866083428
CRO,2264,2264,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0061733343180446765,0.002149744578441637,13704.476655024577,13761.587667542979,-6842.238327512288,1.7961475343788809,0.06417233094103252,2.124250411451562,0.016331960083736996,0.10862555882457525,0.15035098793012683,0.8805013478094965,0.012755881654087614,0.13901320544485998,0.09176021524909929,0.9268968219626301,0.26297557236677577,0.1405099865435867,1.8715792296030132,0.06139607356924031,-0.07085573347804605,0.29529934147942233,-0.2399454503456235,0.8103946681941494,-0.06628681188649307,0.14430895130101326,-0.45933957172362627,0.6460352478957987,-0.026062214611808576,0.3336960901086497,-0.07810164812935882,0.9377542251713211,-0.2784817755219212,0.27551264037571044,-1.0107767656037916,0.31223328881171913,-0.7309695763766612,0.28412908376829765,-2.572667207038735,0.010156169444832082,0.1166104666117174,0.23313823074607562,0.5001773679012115,0.6169997014224381,0.377099347527594,0.18590485256292438,2.0284534928960762,0.04263298515377657
CRV,1750,1750,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.011384776895483006,0.006178494269420631,11800.935948135344,11855.430928189173,-5890.467974067672,2.4255476934511395,0.009754273033648394,2.002010776687311,-0.16851730975062532,0.18688008131272726,-0.9017403490349863,0.36732187718101206,-0.4048684878800452,0.14748927756183067,-2.7450706557994744,0.006113125722759275,0.3205128657082617,0.2475469205668124,1.2947560202905288,0.19557930591687958,-0.05740859429700775,0.35846940639145625,-0.16014921573060642,0.8727824589326891,0.5446603464849659,0.2669670689747367,2.040178021119554,0.041486045464965385,-0.2353872299122661,0.43665750484578925,-0.539066035279517,0.5899115050014578,-0.1557582165518513,0.6592480129617652,-0.23626649377687983,0.8132541974385947,1.3943925449481869,1.0458421818224077,1.3332724278900483,0.1826201069774712,-1.3894512286076457,0.9777845208635031,-1.4210198657886204,0.15549341571718603,0.1616925264599055,0.2022932055600595,0.7992978608067984,0.42422879217456766
CVC,2819,2819,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008875716205849704,0.005486613411720742,17582.730085239225,17641.52300009005,-8781.365042619613,1.51774009829504,0.13562486685227645,2.006185512252624,-0.06367432984837822,0.13043185560975043,-0.4881808171072147,0.6254624369232411,-0.4796649599767498,0.3389159947422504,-1.4152915985612913,0.15710132332943205,0.07208055577279474,0.1640725758385503,0.4393211687230595,0.6604649024879673,-0.3977254718662768,0.2982716672191661,-1.3334336297320302,0.18250493152050112,0.2946939247253447,0.1740198114042298,1.693450431576446,0.0904880913651444,0.11610584836676377,0.29483905281020634,0.3937939945883064,0.693765037446477,0.4906942650639733,0.3843236710252772,1.2767734648113829,0.20179486834779145,0.11004793255412748,0.4273591824067599,0.25750688667637894,0.7968076298101933,0.2844040353738164,0.29308901243663377,0.9703674423322333,0.33195253404933744,0.039346713887200874,0.3200069398285853,0.12295581435914267,0.9021514750557899
DAI,2019,2019,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0044980285553252175,-3.1555743462474695e-05,1262.4254370120434,1318.3742808842087,-621.2127185060217,0.48825880322023685,0.8833806280115858,2.6146960746932177,0.003625959767824311,0.007623871727677803,0.4756060827545903,0.6344075593658742,-0.014944703803649801,0.016848394591192726,-0.8870105530091245,0.3751810530987183,-0.0024790754772305136,0.005471552531759886,-0.4530844696894716,0.6505376129714602,0.007550625346465655,0.00942296769589063,0.8013001413300497,0.42305415253237655,0.010667954464730591,0.009610468238138267,1.110034828729342,0.2671189449489555,-0.023719945224800795,0.01747054483775176,-1.357710675029712,0.1747103740345086,-0.001992632310237937,0.024229392510877922,-0.08224029180027248,0.9344639546083592,-0.008034950814651394,0.023993853960247395,-0.33487537383379773,0.7377546066071613,0.009724423223362678,0.022553612985963232,0.4311691980089798,0.6663923328093915,0.006391651987692127,0.008098988643936664,0.789191375453682,0.4300947459049268
DASH,3803,3803,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00422502758441845,0.0008200219796539177,16342.188920493838,16400.98183534466,-8161.094460246919,0.9296225833611275,0.4978776707637653,1.9954530402188917,-0.1486178685410115,0.148413037506686,-1.0013801417838124,0.3167351131591169,-0.26301898253223177,0.17377196339374093,-1.5135869871958034,0.1302506890514987,0.08071439644526313,0.13452919542581526,0.599976801985501,0.5485733451001802,0.07172057483759114,0.12053324963503569,0.5950273061977079,0.5518763698960962,-0.041907287655038566,0.132205229076569,-0.31698661201038586,0.7512789015165393,-0.15664183824205533,0.1553118209864757,-1.00856352882306,0.31327671496663934,0.17485284796998313,0.26546449010090745,0.6586675600322991,0.5101668821948812,-0.09900703518601928,0.47025535524785445,-0.21053887867759907,0.8332634081159702,0.2299973957231773,0.22921314818706973,1.0034214770937464,0.31574978529973113,0.025903680022800663,0.27342351818448163,0.09473830266979151,0.9245299052390542
