symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_fng_value,stderr_fng_value,tval_fng_value,pval_fng_value,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
LEND,2730,2730,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010979482314599776,0.007597573249566114,17813.84502273445,17872.637937585274,-8896.922511367226,2.114934925103823,0.025268561913470124,1.9986118692437134,0.11211291092856304,0.13699605303958898,0.818365992603924,0.4132223177662311,-0.44627957852780303,0.3303701153945185,-1.350847300443228,0.17686046980490988,-0.058995655710758016,0.15468710668630967,-0.3813870268476573,0.7029468703259478,-0.4404247926632213,0.28438016427243845,-1.5487183988025652,0.1215696542413438,-0.28293545929825775,0.23924017435916634,-1.1826419206395185,0.23705791228155487,0.3726974037028992,0.29391557227455906,1.2680423865216188,0.204894970144964,0.8490168812227759,0.41517856544336706,2.044943915435796,0.040959650674239304,-0.21878045010795527,0.4536288901167953,-0.48228949891534934,0.6296404102983917,0.9340165864568231,0.31101094010797736,3.0031631238841614,0.0026970472775081954,-0.15699164367007296,0.26424626897976383,-0.5941111080818912,0.552488861179419
LINK,2801,2801,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007163160892149856,0.003768202095808415,17006.829042347323,17065.621957198146,-8493.414521173661,1.7142641267484142,0.08042551773274237,2.0016673185574203,0.14824037377719493,0.1192285112242206,1.2433299070422406,0.21385702440494478,-0.4072405451990454,0.21198393942901214,-1.92109150483742,0.05482807149021814,0.23884023520994824,0.14990264911657333,1.5933022973077124,0.11121246583293985,0.07554850831592998,0.28604618239114327,0.264112975339849,0.7917135434818177,-0.033812863662778886,0.16123274866311335,-0.20971461407898553,0.8339066497217451,0.19885196593980387,0.3328697941378891,0.5973866341787407,0.5503006638734274,0.19039255146803202,0.3151926353050691,0.6040513963270576,0.5458615317113342,-0.20135021985415708,0.3542392659604508,-0.5684017532845637,0.5698106902292179,0.3016581010576147,0.25718060278768257,1.1729426628129138,0.24092494112911214,-0.20370942681789256,0.2302354173310288,-0.8847875326019123,0.3763520544815995
LOOM,2585,2585,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.002474311132275697,-0.0010546712575867367,17318.198918001977,17376.6530783679,-8649.099459000989,0.7566651125293942,0.6568687381915836,2.009188233506923,-0.126624483797105,0.1425277120481086,-0.8884200972395063,0.37439880943618364,-0.12820036315106717,0.20573807300885735,-0.6231241562447605,0.5332587929470471,0.015492700405919109,0.16447198121575807,0.09419659379913126,0.9249604084927106,-0.20859513173101626,0.3213201624133368,-0.6491815831422544,0.5162796162068781,-0.05426013308184019,0.16191639807498787,-0.33511203143680884,0.7375682063653641,0.08200723403940145,0.3246216081364895,0.2526240767217225,0.8005791319856678,0.4379323162739584,0.3514010107231252,1.2462466040514968,0.21278861990922635,0.1336177823244089,0.39918825383247664,0.3347237325787721,0.7378610913137293,0.23206311336357205,0.3037559938089841,0.7639787134850881,0.44495077653383863,0.021982425985366302,0.2770131741338709,0.07935516443973512,0.9367563710278823
LPT,2354,2354,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.007675962910697498,0.0038147798870037386,16161.842613961335,16219.348761289039,-8070.921306980667,2.6141138658772167,0.005273392159611701,2.0191005778105584,-0.017470256600569008,0.16281365289789274,-0.10730215979814259,0.9145585771185792,-0.3069675314911788,0.11495822234173458,-2.670252942661735,0.007632465903468974,0.2835795950301494,0.18036655590416842,1.5722404500578238,0.11603156800870956,-1.0217236850419154,0.4777007398174674,-2.138836304570771,0.032553374128077406,-0.09784539467297423,0.1704928075306522,-0.573897492158917,0.5660929697327358,1.0049381826962474,0.5273385196425392,1.9056794549684197,0.05681566971647378,0.4121999518266825,0.4563370438602684,0.9032796205624263,0.3664715697411408,-0.180362382673053,0.49411285866682675,-0.3650226451497162,0.7151278748682857,0.3098001649361506,0.3699536453179198,0.8374026553243548,0.40245278864738054,0.1212722274236124,0.271596565493639,0.44651605664892957,0.6552663166590054
LTC,3803,3803,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004287429747011906,0.000882637523502483,15877.682219116052,15936.475133966875,-7928.841109558026,0.9504397706687278,0.4796659975680029,1.998165350429041,-0.05565554713458558,0.13001087287674648,-0.42808378947927234,0.6686251438971342,-0.29637742706942155,0.1659788323315924,-1.7856338841890327,0.07427365916609692,0.08586310408179017,0.1204392455723715,0.712916322862512,0.47596073681590256,0.12115110477293903,0.17176393858000333,0.705334925214875,0.48066424646119,-0.0736787924476755,0.11990607726845345,-0.6144708769241001,0.5389573241571921,-0.013958047036079294,0.12811400062700531,-0.10895020815653976,0.913250288453243,0.28105503714064195,0.2219698074534884,1.266185885211142,0.20555859263880508,0.1623020328461516,0.3773779118506536,0.43007825246110915,0.6671739285969533,0.21268492908379655,0.21774240495136027,0.9767731238722496,0.32877125081148206,-0.1415803035299045,0.2401097710692062,-0.5896482383846727,0.5554771157124583
MAID,3675,3675,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.040149482678649706,0.03674038455083106,18352.699791641633,18411.114720886235,-9166.349895820817,1.4230913152048439,0.17218943137354947,2.032160542200192,-0.11652572536039892,0.19654331408305964,-0.5928755496162789,0.5533173472510209,-2.676370418497044,1.1462316156979364,-2.3349298534811496,0.019624789650827278,-0.005064126190938732,0.2256768524468674,-0.0224397235960698,0.9820989602384725,-0.6441032531172706,0.5177160090225397,-1.2441246588710924,0.21356875471706555,-0.3040744977049096,0.20279317758975016,-1.499431594883587,0.13388627135253384,0.7252447365313288,0.4999965932283825,1.4504993561027326,0.14704308445428682,0.4880996828146339,0.2984558118117361,1.6354169143220567,0.10208587670753543,0.0017620131569341668,0.5760226442929121,0.00305893036392189,0.9975595712780974,0.5846168415864512,0.39157892107126085,1.4929732172178407,0.13556868940994435,-0.1730879459323307,0.31440620596493335,-0.55052331235356,0.5820090182312068
MANA,2836,2836,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.003943519000924156,0.000537550790820962,17508.71168694697,17567.50460179779,-8744.355843473484,1.1656321138060646,0.3127592617850775,2.002671417559366,0.03157993372263934,0.12874156488369584,0.2452971093769787,0.8062455136101527,-0.1166194140278165,0.45310175151201765,-0.25738018808943713,0.796905415068799,0.11543974631671422,0.15237219236666374,0.7576168887753717,0.4487481888613064,-0.14052686441671844,0.4066194265648738,-0.34559800943081154,0.7296724610896865,-0.061305087822571214,0.19009706400932816,-0.3224936068426756,0.7471043943692595,0.31976835644653945,0.3946115461060432,0.8103370507070989,0.4178197461951929,0.30612799408944796,0.3567579529497888,0.8580831669155063,0.3909246731212591,0.03879638087305656,0.3938937601593289,0.09849453024430632,0.9215471152571835,-0.05979014562985337,0.30721113054413995,-0.19462232870258178,0.8457036421120753,0.21444048223110898,0.3308573331868272,0.6481357996983539,0.5169536569981905
MKR,2713,2713,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014755888008494367,0.011386892184815256,16723.554391917496,16782.34730676832,-8351.777195958748,1.7889367591903134,0.0653785946880695,2.000394795609119,-0.02511747640775461,0.11115609437777468,-0.22596580554900075,0.8212455608065403,-1.893498871000551,0.6739189236032572,-2.809683486667118,0.004995659927286146,0.11548215934647128,0.13265135593210037,0.8705690080211664,0.3840689168986884,0.012802985773077383,0.18823111588563612,0.0680173716913845,0.9457769721611878,0.16008349179946174,0.12790766800865713,1.251555081034132,0.21084325170743862,0.01767808290489721,0.1916752578625029,0.0922293419716095,0.9265228448495035,0.5428527591611506,0.28124242553819045,1.9301951265792776,0.05368998865182871,0.32190202636488663,0.364537577517335,0.8830420955699116,0.37729417269217147,0.28101030888907336,0.23927840679553405,1.1744073050820656,0.2403381657562801,-0.2547048769648068,0.2021172079625712,-1.2601840265474773,0.2077146997839666
NEO,2877,2877,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008109670299359828,0.004717948047343934,16585.68879757569,16644.481712426514,-8282.844398787845,1.841347957058607,0.05638805433403293,1.996711389229602,-0.1264680606335637,0.10978512130689225,-1.1519599297981018,0.24944216302173883,-0.4765119002695219,0.19551286440665844,-2.4372406476455555,0.014865640871516135,0.20136400734441579,0.13448927861958312,1.497249516178868,0.13444825247789682,0.028955763888290575,0.13187428625596254,0.2195709619393779,0.8262223351180656,-0.0664777937415032,0.11715144913413802,-0.56745174074105,0.5704557010169471,-0.06466469830798766,0.12113174781398602,-0.53383773845391,0.5934988822189602,0.36697962886669006,0.26516047928714787,1.3839906680409946,0.16647865571279055,0.014628917677077288,0.3219660113019697,0.04543621737561896,0.9637630603489195,0.3326731688491114,0.23783885260064017,1.3987334920746082,0.16201073760098145,-0.11056114148387206,0.21658529848746816,-0.5104738976097642,0.6097623053168612
OMG,2877,2877,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01085264585197998,0.007470303075638007,17248.738116795226,17307.53103164605,-8614.369058397613,2.5929229780000176,0.005629201966925876,1.9970015753393298,-0.17167631073900286,0.12419986715388587,-1.3822584087492849,0.16700965622078504,-0.46744110440728837,0.22306248722092253,-2.0955612493656615,0.03621643981473627,0.07680882930433824,0.14875666717703806,0.516338734672824,0.605661223432878,-0.16015577170930728,0.2977832275713279,-0.5378267037250956,0.5907421658188825,0.21261170662072187,0.15141328968516599,1.4041812780292,0.16038286177649377,-0.24579810322306125,0.2943749625796338,-0.8349830470265228,0.4038030369981903,0.276707964639227,0.3235444021247861,0.8552395368982616,0.39249639601270336,-0.4943620916365309,0.38680483727709053,-1.2780659495279034,0.2013388751664907,0.4549660581357894,0.2955166310120317,1.5395616029382315,0.1237874583778217,0.1947466410296045,0.25783794145414496,0.7553063755135476,0.45013275739257874
PAX,2374,2374,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0005408660229903051,-0.003314741437701274,574.2752512190709,631.8671256041489,-277.13762560953546,0.07192203101402427,0.9999078473092564,2.8874527686916984,0.00010623428182156194,0.005695886185192966,0.01865105417621032,0.9851210694169102,-0.0040417252333400325,0.010274270183073983,-0.39338319523643084,0.6940724245944352,0.0010376674121708534,0.005517034663125758,0.18808426546715723,0.8508269525573003,-0.006451218221538133,0.015125901450786105,-0.42650140505859624,0.6697818740538038,-0.00372538809125535,0.008299297255988089,-0.4488799444516121,0.6535599547765488,0.008379093804271015,0.016417211085430997,0.5103847273856893,0.6098302391218425,-0.001497284600803713,0.009320648756997304,-0.1606416720380815,0.8723895394623026,-0.0013726671085080586,0.008658564275687813,-0.15853287736886582,0.8740506367624596,-0.00021723214390185694,0.011168465241995235,-0.01945049200538575,0.984483394457231,0.00022203595107691577,0.01066456297428327,0.020819976553407532,0.9833910426021161
PAXG,1932,1932,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00402759797326413,-0.0007126196989941658,5369.055801995664,5424.557155420549,-2674.527900997832,0.7718280035934121,0.6426846423200023,2.36252143162726,0.040452035500569763,0.022174396356704294,1.8242677207462894,0.06826934484252935,-0.008093204352404093,0.011833606304670948,-0.6839169855777231,0.4941113849352625,-0.009413763311122685,0.026734917930688915,-0.35211491337015327,0.7247913199325655,-0.04142312493970167,0.046507636733808595,-0.8906736151052209,0.3732175974318549,0.010025765721261468,0.040478569377752155,0.24768083149627892,0.8044082538361554,0.057416556046313766,0.06350900116510708,0.9040695805787511,0.36607366413229747,0.037232413857546304,0.1309571066309298,0.28430999138119817,0.7762039582700248,-0.06733365002620276,0.09254403434737599,-0.7275849869853005,0.46695774542764923,0.11095594155350921,0.0812484224557149,1.3656381034842446,0.1722149911223959,0.026981706929734835,0.024653106876188578,1.0944546285886327,0.2738950205503983
PAY,2797,2797,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014558925494322583,0.011189256166605599,18051.29485543796,18110.087770288785,-9015.64742771898,1.7948855669251327,0.06429661477578337,2.0144116214118157,-0.2275443020404942,0.14138799122440754,-1.6093608804395663,0.10765737794912245,-1.727842245409367,0.5184435169163097,-3.332749256247881,0.0008718185818352143,-0.11182536809632834,0.17368327070937029,-0.6438465123301902,0.5197310669017836,-0.19644231070726934,0.31528534222789245,-0.6230619835326129,0.5332977731338624,-0.1502708206918192,0.17972906703739838,-0.836096370881125,0.4031765867817828,0.27721796787599595,0.33091699710555306,0.8377265909601233,0.40226033878417855,0.5211224347701966,0.35174332968412025,1.4815417686475694,0.13858196729422706,0.01533221557356644,0.4268105402018985,0.03592276696426871,0.9713466662698105,0.5252023179356805,0.3527972645411384,1.4886802442155516,0.1366913921357472,-0.11669543407992852,0.3125432852941507,-0.3733736719702693,0.7089004209530467
PERP,1577,1577,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.006460579508926867,0.0006390594669869465,10405.165644467364,10458.599906758838,-5192.582822233682,1.4995704672983161,0.1425572315079283,2.0025472363409893,-0.1745232197933777,0.18662165504791497,-0.9351713216162882,0.34984701076282787,0.09660334630119069,0.08015367482928398,1.2052266662376014,0.2283014548567804,0.042170120473229,0.25192992368431466,0.1673882953502222,0.8670865682744585,0.08300497745662909,0.30618271352744186,0.2710962238865575,0.7863534521002288,-0.8254208049561514,0.31212136930430096,-2.6445507617628454,0.008263289499896541,0.5619606029947546,0.44300162547330624,1.2685294380000338,0.2048011610197432,0.5610374750093743,0.6419240975787462,0.8739934785522685,0.3822584293196749,-0.3381876172651593,0.7653144637960393,-0.4418936702015451,0.6586283567847302,0.8410537450386426,0.9654111673089703,0.8711870895206578,0.3837881483169814,-0.1632458669829183,0.2039002125829373,-0.8006164629010247,0.4234775312409065
POLY,2542,2542,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.03968525684167579,0.03622950606661579,17495.15116806439,17553.435531655963,-8737.575584032194,5.915176736109303,3.257782703841232e-08,2.023140950581649,-0.1178931599258944,0.1586039731855316,-0.743317822107681,0.45735910172436445,-1.5865498051359985,0.24486819572106114,-6.479199148195215,1.1066754103193165e-10,0.0975008712032208,0.19140806841992197,0.5093874673523052,0.6105255992075509,-0.16915504627478153,0.3344102865719548,-0.505830870242637,0.6130199640075846,0.26843871434098343,0.19442730145592768,1.3806636842194329,0.1675057620611006,-0.05392827076776596,0.367254980233566,-0.14684149615471187,0.8832689656886767,0.4826252470148173,0.39756412084548576,1.2139557412485689,0.22487924538626888,-0.1084848047475323,0.452305600529317,-0.23984846665744672,0.8104673877535244,0.25960674610315293,0.3442735099601572,0.7540712212600883,0.45087744538271923,0.12589262219995018,0.309556021567586,0.4066876863271218,0.6842721840681052
POWR,2767,2767,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0033833912620926387,-2.4492278424492753e-05,17407.106052226503,17465.898967077326,-8693.553026113252,0.8770173688560069,0.5450840745165126,2.0023358486540346,-0.06333077682802592,0.12690036103330637,-0.49905907526460125,0.6177794753557562,-0.1489316206433312,0.27204052403040485,-0.5474611592304011,0.584108365743384,-0.02169809976756395,0.15082902355900482,-0.14385891558248787,0.8856228919269149,-0.2926183747452647,0.26663847273362695,-1.0974349340711675,0.2725516988005802,-0.3116953153456392,0.20272289998431742,-1.5375436883043399,0.12428042629904183,0.49405261457677474,0.2972123365644994,1.662288383744657,0.09657404161247718,0.15778342349929264,0.3378178690733398,0.4670665407135052,0.6404909333640796,-0.19682879955586668,0.4377290085628623,-0.4496590258024905,0.6529933474828085,0.18992622285207933,0.29894980772994384,0.6353114066012349,0.525280563274271,0.2282710645149665,0.29441961669496347,0.7753255950722507,0.4382169414400524
PPT,1818,1818,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.012337694797571963,0.007018149168115495,11939.352990869702,11993.624432203787,-5959.676495434851,1.8796691737751599,0.05083717551073657,2.0054610944117606,-0.49914562562005693,0.20580590486597783,-2.425322178900085,0.015400154569348333,-0.8228669776693665,0.5187077766122509,-1.5863787179818656,0.11284262626105517,0.026116234374034653,0.2811818935777546,0.09288021373542955,0.9260098589430378,-0.7806841924575456,0.4190650620416609,-1.86291882375996,0.06264903496614317,-0.005061458991298486,0.29924085457362964,-0.01691433142880926,0.9865069788165808,0.6609112306232248,0.4682341949689356,1.4114971476337221,0.15828424317722617,0.8372400857661619,0.33610148410093893,2.4910335876848424,0.012833612790371351,0.46628032895476856,0.36250883043954385,1.2862592295735285,0.19853079399136989,0.1161499724305963,0.4237431456892739,0.2741046636675694,0.7840380691461764,-0.35096271933060563,0.4732291444971469,-0.7416337801923388,0.4584134692076606
QASH,2593,2593,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02839226099616332,0.024883244282265182,17082.73903015158,17140.987487061848,-8531.36951507579,2.004814758309222,0.03513236359099354,2.0427869199389233,-0.19242630934738594,0.1423756214563606,-1.351539732568376,0.1766452705127455,-1.3588772034332424,0.6229617864261889,-2.1813171097200965,0.02925314257124219,0.043253781658798555,0.15738718411217104,0.2748240392176485,0.7834742099729664,0.423540746681655,0.41127091302401453,1.0298339446556581,0.30318790390396344,0.1019433273450705,0.1660863009418018,0.6137973256493466,0.539405288373733,-0.4822935146554465,0.4833934095717802,-0.9977246381631308,0.3185097706303047,0.36952306640858557,0.27511472653694835,1.343159892093083,0.1793425136135684,0.21609499302141716,0.3179933569375951,0.6795581992734047,0.49684736032432986,0.20473499202513057,0.27608964948953885,0.7415525804884912,0.4584283400545829,-0.04002118941464333,0.28879443158095763,-0.13858019767055033,0.8897930892874558
QNT,2268,2268,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004517305180465225,0.0004942498354378877,14368.73670589201,14425.865615506911,-7174.368352946005,0.915998264148906,0.5099856679915049,2.1321642016664697,0.1445441544126572,0.1252506420011092,1.1540392296861612,0.24860791500761234,-0.14863973983899514,0.21733448214766635,-0.6839215681292715,0.49409584972109044,0.07070228387947379,0.1565008938186096,0.4517692017875654,0.6514792526457838,0.2908083734890782,0.38867130069909905,0.7482115941310926,0.45441154412750684,0.26448511436583927,0.18255180328011983,1.4488222499779717,0.1475280127822679,-0.25784360946717766,0.4075411823915566,-0.6326811144681992,0.5270068590735644,0.3327986140306367,0.3674614246195066,0.9056695253800804,0.3652087687457992,0.12072096170711097,0.38739034574972864,0.31162614926160825,0.7553538285366516,0.020057882059753424,0.29585381841106717,0.06779659687164986,0.9459536389021348,-0.07271276130985645,0.21258497101290627,-0.3420409305672035,0.7323523640236964
REN,2367,2367,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.012687741315035916,0.008867530511869726,15836.414668763311,15893.976622202792,-7908.2073343816555,3.6746594440606697,0.00013966226036001513,2.0375388810388686,-0.022582501131789126,0.14746622536226806,-0.15313676793660763,0.8783037043440187,-0.6043820889291438,0.14444896037846228,-4.1840528816935585,2.9698812995813428e-05,0.34322307495359283,0.17736334252945998,1.9351409939547324,0.053094081994895834,0.32641652351981637,0.3070960376746218,1.062913497652045,0.2879315195395075,-0.04521507335270726,0.1966969430385394,-0.22987176442212495,0.8182116300698234,-0.31833899684920647,0.3359496473228529,-0.9475794940879271,0.3434420018410279,-0.019844333133202385,0.40800624313401374,-0.04863732716630102,0.961212498074619,-0.5848470647363685,0.39456152050882937,-1.4822709117253643,0.13840368733495262,0.10931841808384277,0.3014439430145834,0.3626492441367585,0.716899867687724,0.06792759971012893,0.24918504321527943,0.27259902453873996,0.7851856589625351
REP,3161,3161,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009569395198177233,0.006182664406681693,17648.33626159651,17707.12917644733,-8814.168130798254,1.1932575394838463,0.29454810051991437,2.006711832202724,-0.18061770265666294,0.13710667787078923,-1.3173516087004817,0.18783545979351618,-1.2332326190867438,0.5718380778208338,-2.1566115775052244,0.031126243032942057,0.09673674743268892,0.15509521246793878,0.6237249099657819,0.5328623107128012,-0.025745334317198984,0.31175347933765674,-0.08258234798821443,0.9341899171831437,-0.1334179140330768,0.15475709759991693,-0.8621117616071678,0.38870455872582177,0.0714549250742118,0.342035772737461,0.208910677682416,0.8345341347188479,0.25497886421626537,0.29907436671621923,0.8525600739905788,0.3939808833764775,-0.08200088557425289,0.3955806520595619,-0.20729245767537224,0.8357975001815388,0.2550546448874361,0.265363464015442,0.9611520780893712,0.3365639965162506,-0.02396041351276463,0.2717027579221368,-0.08818612551452674,0.9297354534571189
SNT,2903,2903,9,"log_daily_return,fng_value,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0034726936236928463,6.511544839393757e-05,16930.885096550126,16989.67801140095,-8455.442548275063,1.06827200349173,0.38299700677601684,2.004896752125589,-0.08895454603745954,0.11653624235606369,-0.7633208711644288,0.4453404698996254,-0.09590044726307884,0.25674198916487223,-0.3735284889511951,0.7087852290094341,0.034863191020338025,0.1486509706041615,0.23453053066955237,0.814591376394196,-0.4894546505864305,0.3056771960009295,-1.6012141467855592,0.10944950307655292,-0.29320080367118545,0.1489917094132121,-1.9679001256239386,0.04918436280624143,0.6001143444159266,0.32325348384922714,1.8564822172058437,0.06349652428574386,0.25960523678162273,0.3132752422742079,0.828680986397233,0.4073600871915859,-0.11966723971936126,0.4022725988289016,-0.29747797903147577,0.7661250943305168,0.3252600188116819,0.24177121061496387,1.3453215458712298,0.17863731095345572,0.025725364463973152,0.23478143974545337,0.10957154233258054,0.9127575337525062
