group,proxy,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_R_g_t_lag,stderr_R_g_t_lag,tval_R_g_t_lag,pval_R_g_t_lag,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
Asset,ConSIX,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588
Asset,EPU_DUS,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588
Asset,InvSIX,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588
Asset,TwitSIX,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588
Asset,VIX,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588
Asset,fng_value,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588
Asset,no_sentiment,1922,1922,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009821604081243773,0.005680763951944279,13803.617585576609,13853.667679882381,-6892.808792788304,0.6309880353299868,0.7523095271374289,2.005733839671579,0.19162866882646157,0.1997110643774087,0.9595295554798444,0.33741329299585887,-0.08640008379138216,0.09292648427269269,-0.9297681330312807,0.3526084561476145,0.603740776626774,0.536383799655526,1.1255760837939284,0.26048618714390664,0.14769565515124444,0.08056434571410538,1.8332632610877837,0.06691873810789198,-1.060196926416917,0.9343588531945957,-1.1346785261273846,0.25665219268609857,-1.4593345803978668,1.6103969352562404,-0.9061955772821083,0.3649464657922501,-1.0307817034460658,1.063869723354057,-0.968898428838002,0.3327183487802253,-0.7514391198722545,0.8345188655071727,-0.9004459346950449,0.36799632360677514,0.02780541948060683,0.0823996113663899,0.3374460027119548,0.735817731774588
Hybrid (A-P),ConSIX,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817
Hybrid (A-P),EPU_DUS,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817
Hybrid (A-P),InvSIX,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817
Hybrid (A-P),TwitSIX,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817
Hybrid (A-P),VIX,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817
Hybrid (A-P),fng_value,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817
Hybrid (A-P),no_sentiment,2490,2490,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009897400588033678,0.006704808570582643,12626.389699208723,12678.770041113852,-6304.1948496043615,0.790924355129227,0.6106565021143426,1.8042991631327574,0.034708072384629585,0.06109398489343098,0.5681094864768186,0.5700120368963366,-0.24700702606934408,0.17501174281061205,-1.4113740146947815,0.15825974996924871,-0.21672745988123654,0.1205925324427085,-1.797188063731891,0.07242733985499726,-0.010369559145060228,0.0901544107450301,-0.11501998692428775,0.9084385875486646,0.07646098340351633,0.16758640527461194,0.4562481263216139,0.6482514962980559,-0.030595236065305106,0.06459670701545125,-0.4736346089280814,0.6358021643959393,0.016731090144671508,0.023981997389447555,0.6976520709669263,0.4854601818535311,-0.044522337143979115,0.07893231334957776,-0.5640571681561806,0.5727662097475423,-0.06531237040028279,0.08539842023521296,-0.7647960023193972,0.444465765849817
Hybrid (U-A),ConSIX,2788,2788,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005622373461221075,0.0027598254179284076,18700.385036560427,18753.78275450735,-9341.192518280213,1.5284861221215604,0.1418984457040979,2.1063582198523725,-0.047061544844117446,0.1308946759506657,-0.3595375022117399,0.719220345489769,-0.22062363952180516,0.2232191372294674,-0.9883724229925945,0.32305633341169515,-0.5497891634218941,0.31497136230843376,-1.7455211146577716,0.08100471549999862,0.1948775512114202,0.18127267248919404,1.0750520116209858,0.2824447704982398,0.18710126809671265,0.2995440343878548,0.6246202448300161,0.5322716062416692,0.5395671323629609,0.39149242008886836,1.3782313645829458,0.16824281596475277,0.18124776467222575,0.43063500171661945,0.42088488847800704,0.6738716862712217,0.2859306418814512,0.2762257229928062,1.0351340157009843,0.3006963945985923,-0.029177309596450915,0.31794331997220254,-0.09176890270568307,0.926888266074109
Hybrid (U-A),EPU_DUS,2788,2788,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005622373461221075,0.0027598254179284076,18700.385036560427,18753.78275450735,-9341.192518280213,1.5284861221215604,0.1418984457040979,2.1063582198523725,-0.047061544844117446,0.1308946759506657,-0.3595375022117399,0.719220345489769,-0.22062363952180516,0.2232191372294674,-0.9883724229925945,0.32305633341169515,-0.5497891634218941,0.31497136230843376,-1.7455211146577716,0.08100471549999862,0.1948775512114202,0.18127267248919404,1.0750520116209858,0.2824447704982398,0.18710126809671265,0.2995440343878548,0.6246202448300161,0.5322716062416692,0.5395671323629609,0.39149242008886836,1.3782313645829458,0.16824281596475277,0.18124776467222575,0.43063500171661945,0.42088488847800704,0.6738716862712217,0.2859306418814512,0.2762257229928062,1.0351340157009843,0.3006963945985923,-0.029177309596450915,0.31794331997220254,-0.09176890270568307,0.926888266074109
Hybrid (U-A),InvSIX,2788,2788,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005622373461221075,0.0027598254179284076,18700.385036560427,18753.78275450735,-9341.192518280213,1.5284861221215604,0.1418984457040979,2.1063582198523725,-0.047061544844117446,0.1308946759506657,-0.3595375022117399,0.719220345489769,-0.22062363952180516,0.2232191372294674,-0.9883724229925945,0.32305633341169515,-0.5497891634218941,0.31497136230843376,-1.7455211146577716,0.08100471549999862,0.1948775512114202,0.18127267248919404,1.0750520116209858,0.2824447704982398,0.18710126809671265,0.2995440343878548,0.6246202448300161,0.5322716062416692,0.5395671323629609,0.39149242008886836,1.3782313645829458,0.16824281596475277,0.18124776467222575,0.43063500171661945,0.42088488847800704,0.6738716862712217,0.2859306418814512,0.2762257229928062,1.0351340157009843,0.3006963945985923,-0.029177309596450915,0.31794331997220254,-0.09176890270568307,0.926888266074109
Hybrid (U-A),TwitSIX,2788,2788,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005622373461221075,0.0027598254179284076,18700.385036560427,18753.78275450735,-9341.192518280213,1.5284861221215604,0.1418984457040979,2.1063582198523725,-0.047061544844117446,0.1308946759506657,-0.3595375022117399,0.719220345489769,-0.22062363952180516,0.2232191372294674,-0.9883724229925945,0.32305633341169515,-0.5497891634218941,0.31497136230843376,-1.7455211146577716,0.08100471549999862,0.1948775512114202,0.18127267248919404,1.0750520116209858,0.2824447704982398,0.18710126809671265,0.2995440343878548,0.6246202448300161,0.5322716062416692,0.5395671323629609,0.39149242008886836,1.3782313645829458,0.16824281596475277,0.18124776467222575,0.43063500171661945,0.42088488847800704,0.6738716862712217,0.2859306418814512,0.2762257229928062,1.0351340157009843,0.3006963945985923,-0.029177309596450915,0.31794331997220254,-0.09176890270568307,0.926888266074109
Hybrid (U-A),VIX,2788,2788,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005622373461221075,0.0027598254179284076,18700.385036560427,18753.78275450735,-9341.192518280213,1.5284861221215604,0.1418984457040979,2.1063582198523725,-0.047061544844117446,0.1308946759506657,-0.3595375022117399,0.719220345489769,-0.22062363952180516,0.2232191372294674,-0.9883724229925945,0.32305633341169515,-0.5497891634218941,0.31497136230843376,-1.7455211146577716,0.08100471549999862,0.1948775512114202,0.18127267248919404,1.0750520116209858,0.2824447704982398,0.18710126809671265,0.2995440343878548,0.6246202448300161,0.5322716062416692,0.5395671323629609,0.39149242008886836,1.3782313645829458,0.16824281596475277,0.18124776467222575,0.43063500171661945,0.42088488847800704,0.6738716862712217,0.2859306418814512,0.2762257229928062,1.0351340157009843,0.3006963945985923,-0.029177309596450915,0.31794331997220254,-0.09176890270568307,0.926888266074109
Hybrid (U-A),fng_value,2788,2788,8,"R_g_t_lag,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005622373461221075,0.0027598254179284076,18700.385036560427,18753.78275450735,-9341.192518280213,1.5284861221215604,0.1418984457040979,2.1063582198523725,-0.047061544844117446,0.1308946759506657,-0.3595375022117399,0.719220345489769,-0.22062363952180516,0.2232191372294674,-0.9883724229925945,0.32305633341169515,-0.5497891634218941,0.31497136230843376,-1.7455211146577716,0.08100471549999862,0.1948775512114202,0.18127267248919404,1.0750520116209858,0.2824447704982398,0.18710126809671265,0.2995440343878548,0.6246202448300161,0.5322716062416692,0.5395671323629609,0.39149242008886836,1.3782313645829458,0.16824281596475277,0.18124776467222575,0.43063500171661945,0.42088488847800704,0.6738716862712217,0.2859306418814512,0.2762257229928062,1.0351340157009843,0.3006963945985923,-0.029177309596450915,0.31794331997220254,-0.09176890270568307,0.926888266074109
